,a-a0,a-a1,a-a2,a-a3,a-r,b-a0,b-a1,b-a2,b-a3,b-r,c-a0,c-a1,c-a2,c-a3,c-r,d-a0,d-a1,d-a2,d-a3,d-r,e-a0,e-a1,e-a2,e-a3,e-r,f-a0,f-a1,f-a2,f-a3,f-r,g-a0,g-a1,g-a2,g-a3,g-r
0,4,11,12,5,0.13963035660536816,8,12,13,1,0.6855858315406658,6,10,12,5,0.5557022298675918,4,6,12,1,0.8678610687665549,1,6,10,11,0.9637255660191653,6,7,1,10,0.9818691921807878,1,6,7,10,0.9756889730590603
1,6,7,8,10,0.9720825291081263,4,7,9,10,0.5698499890911176,1,6,8,10,0.9839467701092522,10,12,6,7,0.9861990894844238,8,11,1,6,0.9663745610751691,6,8,11,10,0.9928407902618219,6,7,8,4,0.9214391405077094
2,6,7,2,8,0.8823413669788652,1,4,6,10,0.8700273697149776,1,6,8,10,0.9842405128846038,6,7,8,10,0.9733062903817208,6,8,7,11,0.9895063519957792,1,6,7,8,0.9788202825803185,1,6,10,8,0.9832824858782948
3,11,12,2,8,0.7841770417853211,6,7,12,1,0.9505972480232094,8,12,4,1,0.8647952139443538,7,8,10,12,0.9562718484418855,6,10,12,7,0.983347473433248,6,7,8,12,0.9782357255278991,6,7,10,12,0.9851403031228707
4,6,12,11,7,0.9576734677169202,11,12,4,10,0.7672322323712674,9,10,4,11,0.49086905486002486,2,6,12,10,0.8008862407392796,6,8,12,1,0.9701815094323338,2,6,7,12,0.8588663550238693,6,7,8,10,0.980335305785651
5,9,10,13,7,0.2395427759811194,1,4,7,12,0.844416206821663,1,4,10,6,0.8465002010398687,1,8,10,11,0.8904946098164996,1,6,7,8,0.973994252215265,1,6,7,10,0.9805385219409407,1,6,10,12,0.9622621161404802
6,7,9,3,12,0.2584658526648884,1,7,10,12,0.8842978815289791,8,6,2,1,0.8608585879909749,6,7,10,8,0.9720981547228912,1,2,10,11,0.697691826267014,1,6,7,8,0.9758814555767535,6,10,1,12,0.9608030964215551
7,1,5,7,11,0.5613756047425991,7,10,11,12,0.8936839206825785,1,2,6,7,0.8360845795632368,2,6,8,10,0.8126878352377311,6,7,10,12,0.9819197634535994,8,11,12,1,0.821127974442424,6,7,8,3,0.6511510321524896
8,6,3,12,13,-0.4885296722201242,1,4,8,10,0.876690803554132,6,10,7,8,0.9800945101172679,1,2,8,12,0.7917075127740185,1,6,8,12,0.9653145475093595,1,10,12,6,0.9586208070107938,6,10,12,11,0.9561237213084377
9,8,9,13,1,0.31866666487519424,13,11,2,6,0.1014022546613349,8,1,6,5,0.6557900037756883,2,13,1,3,-1.0975796334848802,7,8,12,4,0.9115966112527089,6,7,8,10,0.9813520574684872,6,7,8,10,0.9833765184919994
10,1,8,10,12,0.9193659842593568,8,3,10,4,0.22992499989202198,4,11,12,10,0.7722782338303078,11,6,1,3,0.5618656813917655,6,10,11,8,0.9905998597268466,1,6,7,8,0.9815723070644965,1,6,7,8,0.9789136233588707
11,9,10,11,4,0.43557587151945676,6,1,7,13,0.7043411573109383,1,6,9,2,0.34408790071350037,1,8,10,11,0.873256218920822,8,11,7,1,0.8637204945008384,6,8,10,1,0.9850901786187312,7,8,12,10,0.9526529793956595
12,10,5,7,4,0.2442780552856867,1,11,12,8,0.8310611849147905,9,8,7,1,0.8496169046275771,2,7,12,6,0.8461825789066355,8,3,9,12,0.2789671663277361,8,1,2,6,0.8533084832056901,8,10,12,6,0.982791030523922
13,6,1,4,13,0.18636915351687589,3,4,6,8,0.15472931519875566,13,4,10,11,0.15893438942178584,1,7,9,11,0.7622145216291227,7,8,10,11,0.9154908576687245,1,6,7,8,0.9795573283859966,6,7,8,10,0.9832651432929639
14,1,6,8,11,0.9730891311932405,1,4,12,9,0.5153201383043264,1,8,12,9,0.8052336988120302,7,8,11,3,0.6582668322424619,4,6,7,10,0.8749725405240247,1,6,7,8,0.9770294115447008,6,11,10,1,0.9555902502764262
15,5,7,8,1,0.735316134167568,11,13,12,10,0.552870065685608,1,8,11,10,0.9108779057870402,1,12,8,7,0.8827249342093789,7,10,6,12,0.9871030474851575,1,4,6,10,0.8606322650379604,1,6,10,12,0.9582068296092636
