,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,a-a0,a-a1,a-a2,a-a3,a-r,b-a0,b-a1,b-a2,b-a3,b-r,c-a0,c-a1,c-a2,c-a3,c-r,d-a0,d-a1,d-a2,d-a3,d-r,e-a0,e-a1,e-a2,e-a3,e-r,f-a0,f-a1,f-a2,f-a3,f-r,g-a0,g-a1,g-a2,g-a3,g-r,h-a0,h-a1,h-a2,h-a3,h-r,i-a0,i-a1,i-a2,i-a3,i-r,j-a0,j-a1,j-a2,j-a3,j-r,top-a0,top-a1,top-a2,top-a3,top-r,none-a0,none-a1,none-a2,none-a3,none-r,baseline-a0,baseline-a1,baseline-a2,baseline-a3,baseline-r
0,0,0,0,0,0,2,22,26,29,0.9784007184114312,2,10,13,21,0.8286244168190187,17,26,30,49,0.8498420700051708,7,12,13,17,0.8781882159344633,5,6,7,16,0.786816239435725,6,7,10,15,0.940609976131933,2,9,15,16,0.81687421148563,4,7,13,19,0.70813348221819,1,2,5,19,0.962257024643235,6,7,15,22,0.9368289326345244,2,7,1,22,0.9783078234643846,112,117,120,122,0.9218521259645716,112,117,120,122,0.9218521259645716
1,1,1,1,1,1,24,33,39,43,0.7428220211384426,8,10,15,17,0.3822733568047433,5,16,24,26,0.9777272550383924,2,5,7,13,0.9091853024168884,16,22,24,34,0.8964738226371303,5,6,7,10,0.6480715145740015,2,7,12,13,0.9688923703604608,1,6,7,13,0.8749305530188867,2,18,21,23,0.8596364336563818,6,14,15,19,0.9438634934842028,2,7,1,22,0.9779537359366964,112,117,120,122,0.914989599410057,112,117,120,122,0.914989599410057
2,2,2,2,2,2,2,5,10,14,0.9812871405022672,3,12,15,21,-0.0374311207276929,5,6,12,14,0.90945684179163,2,5,6,7,0.7150128705142682,2,19,22,24,0.9463381433587986,6,7,12,18,0.8997524739010085,1,5,7,12,0.9219504446548952,2,5,13,18,0.9634568541792664,2,5,6,14,0.944217145163623,2,5,7,9,0.860995522977077,2,7,1,22,0.9782617227878286,112,117,120,122,0.9169432217385955,112,117,120,122,0.9169432217385957
3,3,3,3,3,3,5,11,17,20,0.2283462157179341,15,21,24,31,0.8195596632668954,1,2,7,12,0.9799914467918516,2,6,10,13,0.942194873477238,1,2,6,13,0.9792039456559946,1,7,15,19,0.9887547599861766,1,6,9,29,0.8503209801086162,6,7,10,12,0.9393264935927054,1,2,6,7,0.8763141478630089,5,6,19,20,0.7876942970153196,2,7,1,22,0.9784547005674282,112,117,120,122,0.9167297846402872,112,117,120,122,0.9167297846402872
4,4,4,4,4,4,1,2,5,14,0.9760221817844724,4,5,33,41,0.4935957722171342,31,43,47,53,-0.0232870993608351,7,9,13,20,0.8718991997273303,24,49,50,52,0.850083464476975,2,9,12,29,0.9576530839791746,2,9,10,17,0.8015641026952844,1,7,13,27,0.7021478216165508,7,12,18,30,0.7384762738297681,1,2,5,7,0.8799402303799756,2,7,1,22,0.9786398048462656,112,117,120,122,0.9241484746850142,112,117,120,122,0.9241484746850142
5,5,5,5,5,5,3,12,15,16,0.0664052666952393,12,15,20,25,0.3252633365011181,11,15,23,24,0.6786945093741824,12,14,23,29,0.9243144423474788,2,19,20,23,0.9427354357986124,6,12,16,18,0.7154419973810164,2,5,7,10,0.8618677310579681,1,2,7,13,0.9781215105230284,1,2,7,10,0.9153888752360396,1,12,13,15,0.7967050628296828,2,7,1,22,0.9785656603847664,112,117,120,122,0.9182556361287092,112,117,120,122,0.9182556361287093
6,6,6,6,6,6,1,7,9,16,0.966733368734569,3,13,14,31,0.5231909084675546,1,7,11,12,0.5161934068921927,15,23,35,40,0.4497801498834352,5,6,10,18,0.946234554929274,2,13,24,30,0.90508974120518,18,19,20,26,0.9286632728613222,1,19,25,28,0.2638754156147652,1,12,13,14,0.7922113969871136,2,5,6,7,0.7166681304259594,2,7,1,22,0.9786728079245992,112,117,120,122,0.9246975617882534,112,117,120,122,0.9246975617882534
7,7,7,7,7,7,4,16,38,44,0.1636032649869396,6,13,18,20,0.8891305235659108,14,16,24,29,0.8977059327376478,2,6,7,17,0.933617843268339,1,7,10,12,0.9655642570913312,9,16,32,33,0.612258474957674,6,12,16,17,0.7057628044589158,2,7,13,17,0.958436008334082,1,2,7,12,0.9754697511342468,24,29,37,42,0.6900800555420127,2,7,1,22,0.9783640735714644,112,117,120,122,0.9258018918411756,112,117,120,122,0.9258018918411757
8,8,8,8,8,8,9,10,12,19,0.7171180678266567,1,18,24,30,0.8390291189305342,2,5,12,16,0.8846835721064772,13,15,19,21,0.8504210147794177,1,6,10,15,0.9645107688156538,6,16,18,23,0.9180869886938384,5,6,12,13,0.9438885285616,5,17,20,23,0.8923592693034117,2,7,12,13,0.966392540091858,7,14,17,47,0.7129181896088361,2,7,1,22,0.9783118387455132,112,117,120,122,0.9197985743449804,112,117,120,122,0.9197985743449804
9,9,9,9,9,9,2,7,8,9,0.6247254792612627,5,13,29,38,0.8842310316637472,1,2,7,13,0.9780087237058545,1,2,6,7,0.8764372256237475,2,10,12,13,0.898785730899316,1,2,6,13,0.9792413963895916,2,12,13,16,0.7348521092914044,2,23,26,31,0.981888232919254,12,22,23,24,0.9773089956056028,1,6,7,22,0.8765996042785902,2,7,1,22,0.9784609257468416,112,117,120,122,0.9247894777853776,112,117,120,122,0.9247894777853776
