,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,a-a0,a-a1,a-a2,a-a3,a-r,b-a0,b-a1,b-a2,b-a3,b-r,c-a0,c-a1,c-a2,c-a3,c-r,d-a0,d-a1,d-a2,d-a3,d-r,e-a0,e-a1,e-a2,e-a3,e-r,f-a0,f-a1,f-a2,f-a3,f-r,g-a0,g-a1,g-a2,g-a3,g-r,h-a0,h-a1,h-a2,h-a3,h-r,i-a0,i-a1,i-a2,i-a3,i-r,j-a0,j-a1,j-a2,j-a3,j-r,top-a0,top-a1,top-a2,top-a3,top-r
0,0,0,0,12,21,22,26,0.8604328052995035,7,11,18,26,0.5690071620441192,8,15,16,23,0.4284976564452285,8,10,13,19,0.6112242271566006,1,20,23,25,0.5076913578570736,14,16,17,24,0.614074877426495,1,7,16,17,0.8942062503489893,9,11,15,17,0.3517968582607959,1,7,11,14,0.5143311507765346,20,23,29,30,0.6565425138066348,20,11,8,9,-0.974106837845468
1,1,1,1,1,7,10,14,0.9630080795289506,1,8,12,15,0.3306488723722748,7,11,14,19,0.6343831635039892,1,8,11,12,-0.5780541327732465,1,9,11,20,0.2052548598071814,8,11,17,33,-0.3900554659957609,11,25,26,39,-0.4964907266301976,4,5,16,35,0.1794881127389648,10,14,16,19,0.8402410314369958,5,7,8,11,-0.5410516192808432,20,11,8,9,-0.9590969018669484
2,2,2,2,1,3,15,22,0.5509233585863837,8,11,23,25,-1.0760169922515654,16,23,26,30,0.8785888960072998,5,11,25,33,0.2175964784818747,1,9,17,18,0.8363479058976507,14,16,20,31,0.6482778838543917,8,10,11,17,-0.5326016677970054,1,9,17,20,0.8231845068219512,2,9,18,26,0.95420476286016,11,16,21,25,-0.6524862868523962,20,11,8,9,-0.9622811700555252
3,3,3,3,1,9,12,14,0.8532476333293448,5,8,9,23,0.5726706289708698,18,29,39,43,0.5572630422623099,1,13,17,23,0.9713055980081504,9,11,14,21,0.1409479672871585,6,7,12,20,0.8325796641768044,9,14,17,19,0.8377742123526469,16,21,23,32,0.2624653560607537,8,16,20,30,-0.3299111440151745,1,9,16,18,0.8409706030191146,20,11,8,9,-0.9602588029704209
4,4,4,4,4,10,15,16,0.3956677966996323,4,15,16,29,0.4436893185498617,9,17,43,46,0.9240417497209656,1,8,16,18,0.2820713373262604,10,16,24,26,0.9505017315022736,1,7,16,24,0.9886537727355243,9,29,30,34,0.8334420394626355,5,14,16,17,0.6981275378217531,11,13,18,23,0.6010447763342643,1,7,9,14,0.9666718710258692,20,11,8,9,-0.9776571200030464
5,5,5,5,17,18,25,26,0.6544862214775125,9,11,23,25,0.1577179125100181,11,19,25,26,0.2658632720238942,28,29,40,44,-0.2864740122271163,11,16,17,20,-0.0412803995672423,2,9,12,17,0.8207309977988764,8,11,16,23,-0.4285477616301278,7,8,9,24,0.6210040277226653,8,16,17,25,-0.2055878970392668,7,8,9,13,0.6290094861552042,20,11,8,9,-0.9635706362505099
6,6,6,6,7,16,20,21,0.5956568584632158,1,2,5,7,0.8800532789038479,3,9,16,30,0.1587996030412863,12,16,20,21,0.4178443080195162,1,8,9,16,0.4952636796913987,10,11,15,17,0.3421286419532603,1,5,8,13,0.6199429561989189,2,7,8,11,-0.3412274981128704,8,20,24,25,-0.2061568067349477,5,7,28,54,0.5485483972176821,20,11,8,9,-0.9784248821069768
7,7,7,7,20,29,36,42,0.8183652502170677,5,6,11,21,0.0724012017600614,33,43,45,49,0.626738500078901,12,19,27,30,0.3646466131175149,9,13,14,17,0.813001480797269,1,16,20,24,0.8881326639000824,1,7,8,11,-0.5067126000285536,1,9,16,20,0.8223808977442423,9,10,11,16,0.40252963823459,1,5,11,23,0.5539414173084535,20,11,8,9,-0.9829302200944723
8,8,8,8,15,20,23,26,0.9206390375685995,8,27,38,40,-0.8023033540417686,1,5,11,17,0.5169243955123143,1,8,9,25,0.0316180682872225,2,10,17,23,0.953818935240796,1,2,7,9,0.9172642134145882,7,8,9,11,-0.434430966448408,1,9,14,24,0.9230955475126036,9,14,16,17,0.6549135008625341,1,8,9,14,0.5016520548658565,20,11,8,9,-0.9697560241851666
9,9,9,9,2,8,11,13,-0.2588727954270651,13,23,27,32,0.0156476608035658,3,8,13,16,-0.4511489300836768,1,11,13,14,0.503501385887952,9,11,17,23,0.5869785440317099,2,7,8,9,0.6247254792612627,8,23,31,61,0.2369915195537687,7,8,11,20,-1.003501078637639,8,29,38,46,0.6994649822368029,1,4,5,7,0.4430070764149779,20,11,8,9,-0.9802794603880711
