,Unnamed: 0,a-a0,a-a1,a-a2,a-a3,a-r,b-a0,b-a1,b-a2,b-a3,b-r,c-a0,c-a1,c-a2,c-a3,c-r,d-a0,d-a1,d-a2,d-a3,d-r,e-a0,e-a1,e-a2,e-a3,e-r,f-a0,f-a1,f-a2,f-a3,f-r,g-a0,g-a1,g-a2,g-a3,g-r,h-a0,h-a1,h-a2,h-a3,h-r,i-a0,i-a1,i-a2,i-a3,i-r,j-a0,j-a1,j-a2,j-a3,j-r,top-a0,top-a1,top-a2,top-a3,top-r
0,0,1,11,29,30,0.1950081333593563,6,14,15,18,-0.2042234864927867,7,9,13,15,0.779531381368316,9,10,17,20,-0.2390365929499349,9,10,16,19,0.1245517941610286,9,14,15,18,0.4299256152750319,13,19,23,7,-0.2178400677977263,6,13,26,16,-0.4761023642939754,6,17,18,29,-0.5820480794463458,6,7,9,13,0.4643940945035147,9,13,1,6,0.841297579099375
1,1,6,14,20,21,0.1274636758039186,2,5,7,9,0.8283884939960584,7,9,17,18,-0.5377583625359441,17,20,23,28,-0.9481417928206934,7,8,16,27,-0.6249872305155899,5,6,8,9,0.8993924802563174,1,9,17,18,0.1997645625838038,1,7,9,13,0.7743853650924937,5,6,9,13,0.8837651391337539,5,13,17,19,0.3006325625048814,9,13,1,6,0.8413413618285717
2,2,10,13,21,26,0.2893449524647344,1,6,7,19,-0.0683327503240189,1,9,16,17,0.2286277633645732,24,25,8,21,0.8830591558182938,1,7,8,9,0.7971323826227614,1,6,7,13,0.3404730017841048,1,5,6,13,0.8127442769509691,1,3,9,22,0.640548940088008,6,7,9,16,-0.2113495341826887,1,7,9,16,0.3198198371682471,9,13,1,6,0.8418286183223774
3,3,5,7,18,25,0.2241060983108931,1,7,14,15,0.313829076626392,10,16,17,18,-1.5609668608581253,6,7,15,17,-0.4310828548115664,16,17,23,26,-2.8235278256731657,5,21,24,29,0.8643697587939114,9,13,18,28,0.7411012307507953,1,9,13,25,0.8888067694937325,15,21,18,1,0.7722635357314689,6,9,20,28,0.6016602104473194,9,13,1,6,0.8424972059703004
4,4,3,7,8,9,0.7548736977028982,1,5,9,16,0.7886917536541448,3,8,5,22,0.6971859609820058,1,6,8,13,0.7986158039547002,1,6,9,21,0.8786714055410574,1,19,28,30,0.0978576589550923,5,7,17,20,-0.6080559005155639,1,7,9,13,0.7742330213909626,9,25,28,30,0.4500325081401746,1,6,13,19,0.5776797486763801,9,13,1,6,0.8420141066107802
5,5,5,6,8,14,0.4907163683683527,8,17,18,19,-0.2612916471505999,15,20,26,2,0.1989962941342146,9,18,19,23,-0.0976498977206983,1,4,5,9,0.9499051809399126,9,10,13,14,0.5187832985316423,17,18,22,23,-2.525361712467498,6,9,13,15,0.8344929512001679,7,9,17,19,-0.203740311145038,9,18,19,23,-0.0976498977206983,9,13,1,6,0.8425224867257237
6,6,7,9,12,15,0.4280393560625266,2,6,9,14,0.5323221727197917,6,7,10,21,-0.1378120142185077,9,17,18,25,0.2252925922669975,1,5,6,7,0.2780800089398394,19,28,10,20,0.1289783398720065,1,5,7,9,0.7592061659767266,5,6,9,13,0.8777082839247307,1,6,9,13,0.8421680120389645,7,13,18,19,-0.1856908517790978,9,13,1,6,0.8421680120389645
7,7,1,21,24,28,0.9020497878659413,5,6,16,29,0.2380456539327702,13,24,31,10,-0.1074357808382342,5,16,19,26,-0.4697240237116602,1,9,19,24,0.825990909502423,13,15,17,18,0.2133173195731238,5,6,13,18,0.3701518462012791,9,17,23,21,0.0312915628328905,1,5,24,28,0.9257300572228976,1,6,13,18,0.3401292914322127,9,13,1,6,0.8412116033225795
8,8,2,6,8,17,0.227243082835211,6,12,15,18,-0.2000862492623971,5,6,17,19,-0.3274287158377769,3,24,6,16,0.2376089101037595,1,5,10,26,0.0324939567045574,1,9,16,18,0.3262459588884765,1,18,23,28,0.1230430711006109,1,6,7,9,0.417204766989826,18,28,9,6,0.4486941834014134,1,13,18,19,0.4857344595797837,9,13,1,6,0.8413505461892622
9,9,2,9,15,18,0.7831810971901471,2,14,20,21,0.5680524743394683,7,13,15,21,0.7852000745499195,1,5,6,7,0.2773823704531926,6,9,10,19,0.2105783881268582,7,24,29,31,-0.3047837013835359,7,13,17,23,-0.9260247416313134,9,28,19,24,0.8185462879477545,1,6,9,17,0.2767001119748171,5,9,16,18,0.3345604850956044,9,13,1,6,0.8414541003807393
