,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,a-a0,a-a1,a-a2,a-a3,a-r,b-a0,b-a1,b-a2,b-a3,b-r,c-a0,c-a1,c-a2,c-a3,c-r,d-a0,d-a1,d-a2,d-a3,d-r,e-a0,e-a1,e-a2,e-a3,e-r,f-a0,f-a1,f-a2,f-a3,f-r,g-a0,g-a1,g-a2,g-a3,g-r,h-a0,h-a1,h-a2,h-a3,h-r,i-a0,i-a1,i-a2,i-a3,i-r,j-a0,j-a1,j-a2,j-a3,j-r,top-a0,top-a1,top-a2,top-a3,top-r
0,0,0,0,0,1,6,10,14,0.934490191616747,5,11,16,18,0.0376598073086074,13,16,18,29,-0.11847317714836,7,17,18,22,0.8653118365321156,5,6,17,24,0.8665544530411546,5,14,16,21,0.2275514061760619,6,19,27,38,0.8419890882847844,5,10,17,22,0.8623282647883699,5,18,33,34,-0.756463671289135,5,6,10,13,0.6995440150148089,1,4,10,6,0.9625777797093765
1,1,1,1,1,1,6,12,26,0.9706373599760432,3,5,6,11,0.6032537051620026,4,8,10,19,0.9765597317742408,8,26,30,33,0.8502411059315881,13,18,26,38,0.1148331007492079,5,10,16,19,0.6174571884445974,8,27,34,43,0.8396501594054925,8,21,39,48,-0.3341834435460808,5,6,10,13,0.7069584538588494,5,10,13,15,0.2345381661681523,1,4,10,6,0.9584138720169741
2,2,2,2,2,1,7,14,15,0.8337705475556153,17,21,23,32,0.9067889545480564,7,8,25,32,0.957779649663717,9,10,20,22,0.9785935435610652,6,17,18,19,0.8409268713128286,5,6,10,17,0.8990178937147835,5,13,17,18,0.1059219602600354,5,6,18,43,0.6177113101833531,5,6,13,16,0.2369300514766,5,6,10,13,0.7051931951126265,1,4,10,6,0.9597477413082213
3,3,3,3,3,11,19,43,44,0.7442182584278276,21,27,31,54,0.868722893356521,5,10,21,22,0.6666111704933912,6,16,19,25,0.8548655167473058,6,10,20,25,0.9727363246951092,13,16,17,21,0.0447307085351681,10,19,20,49,0.8087002798601013,6,10,19,28,0.8612208070692292,6,8,10,19,0.9782677210283844,13,18,21,23,0.2905584842380688,1,4,10,6,0.9597632858224631
4,4,4,4,4,7,8,13,22,0.9269954070972944,1,5,19,21,0.6208841270613505,6,8,13,14,0.9654590257971668,5,7,13,14,0.8263926779287347,5,8,10,27,0.9462046900475416,6,13,17,26,0.8850747332906268,8,13,19,20,0.8732791868939678,8,10,16,21,0.5688011013773313,5,6,8,13,0.6556607453154267,7,10,13,17,0.9254161453230488,1,4,10,6,0.9641604093744933
5,5,5,5,5,6,23,31,35,0.9631165289974288,2,21,27,33,-0.0278125119919503,16,21,22,24,0.417208100364922,7,8,18,19,0.8536218085420982,8,13,16,17,0.5265097203122895,5,10,17,19,0.8704498736561579,5,6,8,19,0.912466428589191,5,8,31,34,0.608078716885563,5,16,32,40,0.1545604674808555,5,10,17,21,0.6474369389732186,1,4,10,6,0.9607162379834115
6,6,6,6,6,2,6,8,16,0.5366891504583939,4,19,33,35,0.7916720367955477,10,13,22,26,0.8464962846316602,4,7,10,17,0.968171465180354,10,19,26,41,0.7970288976645789,5,10,16,21,0.1894542435902654,20,23,35,43,0.9729197768751124,5,6,11,27,0.9047739116500638,3,5,17,18,0.0655805232564428,5,6,17,19,0.8659881470009281,1,4,10,6,0.9644951255463795
7,7,7,7,7,25,26,41,42,0.6430324789790205,5,10,13,14,0.7858333566740802,9,14,15,16,0.4327391204799882,1,6,9,10,0.9740456285592216,8,17,18,25,0.8068387753436215,5,6,11,17,0.8589215522628889,5,10,13,14,0.7858333566740802,5,7,8,13,0.715524821225801,2,5,10,13,0.2562222658605219,6,8,11,17,0.9789306229541348,1,4,10,6,0.9649014406586899
8,8,8,8,8,6,10,27,31,0.9551030410389396,13,21,23,33,0.2294297606374427,3,11,18,19,0.5606104717853868,10,13,25,26,0.918750665492862,17,18,19,20,0.7970391573962247,5,10,13,20,0.6607245176263783,6,8,10,24,0.9552453642483631,6,7,8,10,0.9463189019245614,5,13,17,18,0.0988356434154015,5,6,7,13,0.7630832626147794,1,4,10,6,0.9614269085505265
9,9,9,9,9,5,8,12,13,0.4661089521499664,10,13,27,30,0.924219997901855,6,25,29,32,0.9833933247225992,5,12,16,17,0.3095331259120817,7,13,17,19,0.8939437043421776,10,21,24,26,0.843278089264613,6,10,17,19,0.9806218421727326,5,6,8,13,0.6545963213961283,18,21,27,41,-0.0997389457767365,5,6,10,13,0.6963102481587735,1,4,10,6,0.964395431489472
