,Unnamed: 0,a-a0,a-a1,a-a2,a-a3,a-r,b-a0,b-a1,b-a2,b-a3,b-r,c-a0,c-a1,c-a2,c-a3,c-r,d-a0,d-a1,d-a2,d-a3,d-r,e-a0,e-a1,e-a2,e-a3,e-r,f-a0,f-a1,f-a2,f-a3,f-r,g-a0,g-a1,g-a2,g-a3,g-r,h-a0,h-a1,h-a2,h-a3,h-r,i-a0,i-a1,i-a2,i-a3,i-r,j-a0,j-a1,j-a2,j-a3,j-r,top-a0,top-a1,top-a2,top-a3,top-r
0,0,6,18,25,28,-1.0675093253669328,2,8,11,13,-0.396769682832667,2,4,5,10,0.5778891516361919,2,4,5,13,-0.034049136037239,5,12,26,19,0.1517308876415561,10,14,22,25,0.7084921959795835,10,12,14,21,0.215903789808012,2,5,10,12,0.5472496913478926,2,6,14,16,0.0459862604347024,6,10,13,14,0.4596081909232716,1,3,7,10,0.9515095013008987
1,1,7,11,17,21,-0.8997894608976913,4,10,16,19,-0.1524520520216974,5,6,10,13,0.4431352033344083,6,9,12,13,-1.3301014291735296,2,4,9,12,-0.6383411426191063,2,5,11,12,-0.2235380945352678,5,6,10,11,0.4508435954531298,5,6,12,19,-0.3621866810185334,2,6,10,12,0.1495327363377442,2,11,31,4,0.0525168301170683,1,3,7,10,0.9512575341709872
2,2,2,14,19,20,0.4252617548052032,10,20,23,19,-0.2047564813897116,4,6,10,12,0.1563851663943635,5,11,13,14,0.2289720497805439,6,13,14,25,0.4081570411156228,2,12,17,21,-1.4656065229448654,2,5,21,24,-0.6888500254259309,2,6,7,10,0.7160838663032596,11,13,14,30,0.2346104814698641,2,5,6,10,0.647878921965475,1,3,7,10,0.9511402658592495
3,3,7,8,11,12,0.1243129988186994,4,10,13,18,0.0299720827504694,4,5,6,10,0.6560953754279939,4,6,11,12,-0.8906721288730501,5,12,19,22,-0.8832623081430282,2,12,21,29,-1.6965901420101277,4,5,6,9,0.0402508743539657,2,5,11,12,-0.2260629910602287,9,14,19,22,-0.7741249322379706,4,5,6,14,0.6080325865964396,1,3,7,10,0.9508794634284321
4,4,3,5,8,11,0.5898784366015756,4,5,9,15,-0.1418765860525161,5,6,11,24,-0.4836042752495064,1,4,5,21,0.364736678856116,12,27,13,24,-2.262891015662388,6,7,10,12,0.5155713181146591,1,10,13,16,0.3918588765596549,5,10,11,12,0.2985881303811167,2,10,12,30,0.5419824199040683,2,5,6,10,0.6386690146486348,1,3,7,10,0.951144450152844
5,5,3,4,26,10,0.8163101220031069,3,5,7,10,0.9190614979534522,4,11,12,24,-1.1278675269618343,4,6,25,29,-0.1818007811531736,2,5,11,12,-0.2295457900238102,2,4,10,14,0.6292613087032549,12,19,5,4,-0.1288215767920699,2,5,6,10,0.646623357891865,4,6,10,12,0.1550909026608342,2,5,6,10,0.646623357891865,1,3,7,10,0.9509052702941473
6,6,10,21,28,12,-1.2734572480250184,11,12,26,6,-0.4313871054184273,26,30,13,11,0.0505186335544243,2,5,6,7,0.568401665720163,2,12,14,19,-0.0756275640643393,4,10,14,27,0.4879510149713362,2,10,11,13,-0.0771056925366764,3,10,12,14,0.8216587767750114,5,6,11,12,-0.4394854871750231,10,11,12,13,-0.5255601662032527,1,3,7,10,0.9511084596859204
7,7,6,7,11,28,-0.5971029646065291,4,24,16,21,-2.169301539005713,2,8,10,14,0.8402083119364063,5,14,16,13,0.2805103539214446,5,11,12,13,-0.7170801134686895,5,6,10,13,0.4309327767049293,2,5,6,10,0.6360393516411316,11,12,14,21,-0.7166133013252949,2,5,10,11,0.5323981299490326,2,4,6,12,-0.5495768637868925,1,3,7,10,0.9515174999410148
8,8,10,18,19,27,-1.3122618214404254,1,2,4,5,0.5039022518609089,9,23,26,27,-1.3455485293630476,6,12,24,19,-1.7211875972760242,5,8,19,24,-0.2975873160114162,14,27,31,19,-0.2358663635685989,5,11,26,27,-0.0022833615662738,14,22,26,27,-0.3722441379855321,4,5,13,14,0.4857422739768269,4,5,6,10,0.6515399941538429,1,3,7,10,0.9513520448036051
9,9,4,6,17,21,-1.345614794561706,8,20,29,14,0.4308488925652057,4,12,18,19,-1.1894321581403091,2,10,13,22,-0.1137280795385988,12,13,14,19,-0.5142185199036549,2,4,6,10,0.3051883937433887,2,3,10,13,0.5386736564644893,5,6,22,30,0.101875843835428,5,10,11,12,0.2972096870885754,6,10,14,19,0.4477409540587673,1,3,7,10,0.9513887572427567
