,Unnamed: 0.1,Unnamed: 0,a-a0,a-a1,a-a2,a-a3,a-r,b-a0,b-a1,b-a2,b-a3,b-r,c-a0,c-a1,c-a2,c-a3,c-r,d-a0,d-a1,d-a2,d-a3,d-r,e-a0,e-a1,e-a2,e-a3,e-r,f-a0,f-a1,f-a2,f-a3,f-r,g-a0,g-a1,g-a2,g-a3,g-r,h-a0,h-a1,h-a2,h-a3,h-r,i-a0,i-a1,i-a2,i-a3,i-r,j-a0,j-a1,j-a2,j-a3,j-r,top-a0,top-a1,top-a2,top-a3,top-r
0,0,0,18,22,23,36,0.9720480899346216,7,8,13,16,0.5919074944105397,18,42,52,62,0.9320076141320957,1,7,13,16,0.9753507391810456,6,11,16,21,0.1377383238438834,5,10,17,19,0.945276124956434,16,19,21,29,0.8916947439736713,10,21,22,45,0.4733109491307479,3,5,8,13,-0.2814502234296496,5,6,13,18,0.9398975913903062,5,10,21,17,0.8511812420312073
1,1,1,7,13,15,22,0.9665931834727408,16,24,37,45,0.4911879877080176,5,16,19,21,0.8898360800134599,1,2,6,8,0.6267248727885735,7,18,20,24,0.9293354973381104,16,20,21,26,0.6416361240376961,6,13,16,17,0.8791310470897608,5,10,16,21,0.8547438269669392,8,10,15,17,0.3822733568047433,5,8,10,16,0.5916762975583982,5,10,21,17,0.8535071863033115
2,2,2,10,19,20,23,0.8032669363744411,5,12,19,20,0.9318717977620252,4,7,16,27,-0.2457011580808299,6,9,20,25,0.4906792821989554,8,10,12,13,0.568517025604984,5,17,19,21,0.887101828557196,6,10,13,17,0.9805822810662655,10,14,20,34,0.8284270281175657,5,21,26,27,0.3411784511945556,5,6,8,10,0.4750340953685696,5,10,21,17,0.8532004970853212
3,3,3,10,11,33,38,0.6203028484306394,3,25,34,39,-0.5589797557671978,5,13,14,17,0.8777275969688483,3,14,19,25,0.1678203703650264,2,6,34,52,0.9645657813105052,6,11,13,15,0.5890475944389653,6,9,16,17,0.9450946468491396,8,17,27,31,-0.3089720510569518,6,10,29,32,0.5825940528520881,2,5,6,10,0.8629806425896459,5,10,21,17,0.8537706032710796
4,4,4,4,6,8,17,-0.4920138279443959,5,13,14,17,0.8692043361120364,5,18,32,33,0.6674998731500037,6,13,14,16,0.8740286358735418,8,10,19,22,0.6119927125860354,5,6,10,13,0.8686448144799244,5,40,46,52,0.7861554012653129,5,13,17,37,0.831353280633513,5,13,16,19,0.993837516040416,10,18,19,22,0.8871367181824017,5,10,21,17,0.8508451440627984
5,5,5,5,12,22,29,0.980720693075284,6,7,8,13,0.5525186089915151,5,10,11,14,0.5801741644192766,13,30,31,32,0.305991054494983,5,10,13,38,0.8938633223386714,5,6,8,10,0.4760481282956809,2,5,6,20,0.81940679676624,2,6,13,27,0.7806355082762522,5,25,27,40,-0.4494725585232362,5,6,10,13,0.8642950091395988,5,10,21,17,0.8532621210462523
6,6,6,8,10,19,20,0.2809566845608457,22,29,50,54,0.9536080828202996,5,11,29,35,0.1968203861124742,22,24,27,38,0.8351850536646759,5,7,8,17,0.4903436032724243,5,19,20,29,0.8612532975781768,5,8,13,17,0.5869416614570027,5,8,13,17,0.5869416614570027,5,10,14,21,0.852661743160305,5,7,17,19,0.9433919063778052,5,10,21,17,0.8507924861828975
7,7,7,1,6,25,31,0.726900985580375,5,14,19,27,0.7382770846749191,6,23,31,35,0.824040075295223,6,10,14,27,0.6865856280609802,5,14,18,30,0.7314025868210576,2,16,28,31,0.6050904230764556,1,5,7,11,0.4282677314196871,10,13,20,31,0.8587294438650316,3,5,10,12,0.5989343699505629,5,10,17,19,0.9475960684668816,5,10,21,17,0.8497404260008072
8,8,8,1,10,38,44,0.7278899304777902,21,23,29,36,0.8453560924698106,7,10,13,14,0.981352994641314,5,6,10,22,0.8644031446218684,5,10,20,25,0.4886709666455209,5,6,9,10,0.6837748459098736,5,17,27,32,-0.2254802821644603,5,6,10,13,0.86440407554753,5,10,11,17,0.5710669331268388,8,19,20,21,-0.1222519767321017,5,10,21,17,0.851833980992918
9,9,9,1,13,23,28,0.7565821361589539,4,5,7,9,0.4760228077824758,6,9,22,30,0.8342098688735027,5,11,19,22,0.6999159707632561,4,5,7,20,0.1620810281986415,5,13,18,19,0.9921206934971712,2,4,5,19,0.7130255004527803,5,14,27,28,-0.0880761410809223,5,17,21,31,0.8088098433324789,5,8,10,21,0.184357471618486,5,10,21,17,0.8502332220987158
10,10,10,1,2,6,8,0.6230131497096207,16,18,19,25,0.6590057605069022,1,10,14,19,0.88336217918579,5,9,13,27,0.7157381481356402,5,20,27,29,0.4138423278187702,3,16,18,19,0.4524190401803565,5,6,7,10,0.6511497291729283,5,6,10,13,0.8630297457848258,5,10,13,24,0.9098040720015356,13,17,21,27,0.29522042380253,5,10,21,17,0.852344109184749
11,11,11,1,6,16,17,0.890880167346853,6,7,19,20,0.7794585941173202,21,35,37,42,-0.5994705820050719,6,16,27,30,0.2887842642653546,5,8,16,17,0.396180134517887,5,8,17,18,0.3832446752763913,7,8,17,18,0.3779665010200026,1,6,10,17,0.9653448719718538,10,13,17,30,0.8018870544714726,5,10,19,20,0.801720324104253,5,10,21,17,0.8501246197774033
