,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,a-a0,a-a1,a-a2,a-a3,a-r,g-a0,g-a1,g-a2,g-a3,g-r,h-a0,h-a1,h-a2,h-a3,h-r,b-a0,b-a1,b-a2,b-a3,b-r,c-a0,c-a1,c-a2,c-a3,c-r,d-a0,d-a1,d-a2,d-a3,d-r,e-a0,e-a1,e-a2,e-a3,e-r,f-a0,f-a1,f-a2,f-a3,f-r,i-a0,i-a1,i-a2,i-a3,i-r,j-a0,j-a1,j-a2,j-a3,j-r,top-a0,top-a1,top-a2,top-a3,top-r
0,0,0,0,0,0,0,11,35,40,54,-0.5368902608584587,7,11,14,23,-0.2185736774365487,4,7,9,10,0.992472375382646,3,9,19,22,0.530077670484896,3,5,22,23,0.614968601981716,11,14,19,23,-1.1490978610482108,27,28,34,36,-0.5424877293340409,9,11,20,26,0.3478559041091722,3,9,11,16,0.812573901741791,3,7,9,19,0.8338405179446524,9,11,3,14,0.29373815140205983
1,1,1,1,1,1,1,18,26,30,37,0.0336392985492275,7,9,25,29,0.968606365773703,3,4,11,18,0.376886599803741,11,16,21,23,0.0678212524789068,9,12,16,20,0.8037887836305294,4,7,11,19,0.5195255939735032,3,4,7,19,0.7576388388661697,2,3,26,32,0.1776770098068282,3,7,9,14,0.7100159518239351,3,4,9,10,0.943456032914344,9,11,3,14,0.30827436238412353
2,2,2,2,2,2,2,3,13,16,17,0.8124112670078236,3,7,11,16,0.8612454733229991,3,7,14,16,0.7652478336868924,7,11,24,26,0.4526459899542937,11,48,53,54,-1.339702770739454,3,7,10,14,0.786551355198126,9,14,15,21,0.4802664342123202,2,9,10,14,-0.1465588129632722,4,11,16,18,0.4902804394427227,3,9,10,11,0.887101828557196,9,11,3,14,0.3047212374553714
3,3,3,3,3,3,3,10,22,23,26,0.61817618308871,3,14,29,30,0.3336140384513884,9,19,20,27,-0.2394730970750849,26,29,34,36,0.2694664008435949,8,34,35,44,-0.641202934237715,15,16,19,32,0.4303237032608765,4,7,10,16,0.9789944325106474,3,7,9,12,0.9787419598620736,11,14,23,32,-1.2270413253617658,3,7,9,23,0.8276795834390345,9,11,3,14,0.3058924839483276
4,4,4,4,4,4,4,31,39,44,45,-1.6398988775938892,4,7,9,10,0.9919203053135076,7,10,24,26,0.8329418906888604,7,9,18,22,0.5153868888045146,6,8,10,14,-0.2051653566809885,6,7,9,11,0.1220784281534665,4,9,11,19,0.45789188118462,4,10,12,19,0.8063099675439727,14,16,35,42,-0.7260581074060015,9,11,15,20,0.4794728113008186,9,11,3,14,0.28945177538767697
5,5,5,5,5,5,5,7,14,16,18,0.3783701348523348,3,6,9,14,-0.2902836764006737,3,11,14,16,0.3637305915386249,3,7,11,19,0.523492592570053,3,11,14,16,0.3637305915386249,10,19,23,31,-0.1484515775809691,3,4,9,12,0.8825807734276585,2,9,15,22,0.3714907515537367,3,9,11,14,0.3026958308760011,7,10,11,14,0.4745873227807883,9,11,3,14,0.30269583087600116
6,6,6,6,6,6,6,4,6,11,14,-0.8707384884181484,7,11,23,24,-0.1415220183294434,3,7,25,26,0.9594032614432524,6,10,22,23,-0.0449697592813416,54,59,19,49,-1.3941258198082909,2,4,9,10,0.6416768004967627,7,9,11,12,0.8509258362029524,9,10,17,21,0.9307362684343654,6,7,9,10,0.5993304583008827,10,11,14,23,-0.1790667962714169,9,11,3,14,0.28842625247987164
7,7,7,7,7,7,7,3,7,11,14,0.3852756871390185,7,11,14,21,0.068723279935158,3,7,10,14,0.7811749973011743,7,14,15,17,0.8333375211932459,3,36,39,41,0.5045189595290118,7,9,16,21,0.7014436433632688,3,10,11,22,0.6804043008190717,9,11,25,30,0.4280327861818115,3,4,11,19,0.3542489560285534,3,4,9,10,0.9428054673932508,9,11,3,14,0.2850123120538802
8,8,8,8,8,8,8,3,13,16,19,0.3521736163039053,4,9,10,11,0.8822084672869782,11,13,14,22,-0.8653592722832715,2,4,23,24,-0.5378795856896124,6,15,24,37,-0.2258557236079552,2,4,19,21,-0.1726671071508496,9,10,11,14,0.3625408855958008,1,9,14,15,0.6802277534734502,3,11,14,21,-0.0019147214472119,3,9,11,13,0.3744501731957081,9,11,3,14,0.29813334460800045
9,9,9,9,9,9,9,16,24,36,40,0.3561397540798551,9,17,20,22,0.5976032897762098,7,9,11,14,0.2804978744404652,2,3,30,41,0.2498466861658744,1,15,19,28,0.815374429415574,3,9,10,12,0.98202500707706,4,8,9,12,0.9127328778040734,14,21,26,36,-0.1637631473032477,14,16,20,32,-0.4021747571196241,9,10,11,21,0.659174253276137,9,11,3,14,0.2874721147635936
10,10,10,10,10,10,10,2,15,16,17,0.7629261602472286,10,16,17,23,0.8630971137861182,3,7,10,11,0.8848831158993419,4,7,11,15,0.8429751597875967,2,3,5,11,0.1999430613545372,2,3,13,19,-0.5609333224372532,2,4,9,11,0.1713789432962531,9,10,11,12,0.8920904640733609,11,14,18,21,-0.6834915685541625,7,9,10,11,0.8497935435390499,9,11,3,14,0.3013910571705972
11,11,11,11,11,11,11,23,26,27,31,-0.329215911939857,3,9,22,23,0.4982721561619866,3,11,14,32,-0.3603524250413685,7,8,16,18,0.7249550705047996,7,16,27,34,0.3410839304820487,9,11,13,14,-0.4895008840072141,1,9,14,22,0.3560473755404418,9,11,14,16,0.216572988344649,7,9,21,25,0.8173305380900797,7,9,11,20,0.4257774146463421,9,11,3,14,0.28674497938825505
12,12,12,12,12,12,12,1,2,4,19,0.1188722508753127,4,11,14,24,-0.3249450567821594,3,7,14,16,0.7571865534443754,1,4,16,30,0.7724037606123753,10,19,26,30,0.4650904297125975,3,4,6,9,0.4777493044629157,3,9,10,14,0.7358161121326257,3,11,16,19,0.4756122411093262,5,7,9,17,0.9060467231962946,3,11,14,25,0.2992419929196743,9,11,3,14,0.28951191894722084
13,13,13,13,13,13,13,4,8,11,14,0.28588461024871,4,8,9,10,0.9317521077034636,1,11,25,30,0.401130189724725,3,4,7,25,0.8064561404360044,3,7,32,33,0.2091028687645899,7,32,52,57,0.0764686295015835,7,12,13,16,0.7959016773600291,11,14,19,21,-0.722948585911805,11,19,21,23,-0.6558369765543444,1,9,32,47,0.6080453023191571,9,11,3,14,0.28902693748378505
