,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,a-a0,a-a1,a-a2,a-a3,a-r,b-a0,b-a1,b-a2,b-a3,b-r,c-a0,c-a1,c-a2,c-a3,c-r,d-a0,d-a1,d-a2,d-a3,d-r,e-a0,e-a1,e-a2,e-a3,e-r,f-a0,f-a1,f-a2,f-a3,f-r,g-a0,g-a1,g-a2,g-a3,g-r,h-a0,h-a1,h-a2,h-a3,h-r,i-a0,i-a1,i-a2,i-a3,i-r,j-a0,j-a1,j-a2,j-a3,j-r,top-a0,top-a1,top-a2,top-a3,top-r
0,0,0,0,0,11,13,14,15,0.7012004141092029,2,6,8,10,0.7910418815850627,3,17,28,22,-0.8057806160456455,6,13,19,3,0.7363406253499354,14,20,21,26,0.7111339365989788,1,2,5,6,0.7621408561589912,5,6,9,10,0.9070001665336076,2,5,6,10,0.966458306580958,2,5,6,10,0.966458306580958,2,10,12,27,0.9810348683007613,5,6,10,14,-0.1912178073665307
1,1,1,1,1,13,23,26,30,0.5266409442777267,2,5,6,14,0.9297435392891318,2,5,6,10,0.962992535935842,2,4,6,7,0.8042662586983925,12,22,30,31,0.9550764652911417,5,12,21,16,0.6445634505137046,4,5,11,13,0.9561062695072656,2,4,5,6,0.9252412599802484,2,5,7,13,0.8250543769407388,6,10,12,14,0.9538812736023125,5,6,10,14,-0.1753715055594356
2,2,2,2,2,6,10,12,15,0.6893447987125995,5,14,28,31,0.7192244538610677,5,11,12,13,0.9445464521444692,2,4,6,8,0.6793793529508307,6,10,12,14,0.954982089296613,2,6,9,11,0.8849253913336159,2,5,11,17,0.7015884937257594,4,5,10,11,0.9353147837737346,6,10,11,12,0.9433690091628848,10,12,15,19,0.6187673044266753,5,6,10,14,-0.1793680267272435
3,3,3,3,3,2,7,9,28,-0.2000590537202602,2,4,6,13,0.9772836898099296,2,8,26,22,0.7145305408107725,2,11,12,13,0.9437146949003296,3,10,21,27,0.7277456344072506,2,4,18,5,0.574319896728492,10,11,12,14,0.9644978792966996,2,10,13,6,0.952366166851918,2,3,11,12,0.720835308707704,10,13,19,25,0.7961796655564479,5,6,10,14,-0.17812014487762884
4,4,4,4,4,9,5,21,6,0.8990686319866437,1,3,4,10,-0.2221722536540484,4,14,18,26,0.543220980759664,10,12,24,26,0.4286522842967851,6,14,20,7,0.3105376153462194,9,10,11,13,0.8748047574223452,2,5,10,26,0.9746093127268703,2,4,6,9,0.8404749877878415,10,12,13,28,0.7690815530706657,6,12,13,14,0.9364098453952244,5,6,10,14,-0.19604432058002308
5,5,5,5,5,14,16,18,26,-0.4090299226977476,2,5,6,17,0.7494066944511228,2,6,9,17,0.349913225985979,4,10,13,25,0.9501555497845088,5,10,11,26,0.9735097319554576,2,5,12,13,0.9449533401669412,6,12,13,14,0.9346764689575878,2,5,6,10,0.9644278469884128,2,5,10,12,0.9685243934286014,2,5,10,11,0.9610850343337644,5,6,10,14,-0.18166024672697634
6,6,6,6,6,17,18,27,16,-2.415296670496925,2,7,15,19,0.2514357830798986,4,5,10,23,0.6850040759993736,18,22,28,29,-0.917618797672174,7,10,11,12,0.81080085081548,6,10,11,12,0.94799995670284,4,6,10,13,0.9810561747780256,6,13,27,2,0.9760598693149932,5,10,14,16,0.7084498832470116,4,5,7,11,0.7266291083996066,5,6,10,14,-0.1970855215351004
7,7,7,7,7,2,4,10,20,0.7387278076559931,1,2,4,21,0.6613045204659882,2,10,12,14,0.964345274825786,5,7,11,13,0.8201647500380701,2,10,19,26,0.9239315847358136,2,7,13,14,0.7597228067525804,4,6,10,14,0.9429574917390332,2,6,10,11,0.9673851585312448,2,5,6,13,0.9782347402898914,2,4,5,13,0.9515933207274422,5,6,10,14,-0.20061885107340238
8,8,8,8,8,16,21,9,10,0.3378794099115746,1,14,25,27,0.5700719439573855,11,12,13,21,0.8659950154990435,4,11,31,17,0.3434897002045971,2,5,6,10,0.9653693879943516,2,4,5,6,0.92404602575446,2,3,6,11,0.784450832504305,4,5,10,14,0.9017320869327652,5,6,13,19,0.946663460637964,5,6,10,13,0.9542390456170132,5,6,10,14,-0.18666499569669837
9,9,9,9,9,5,6,10,12,0.9476698906469868,6,11,14,22,0.9597576232393492,4,14,22,25,0.968085415257721,2,13,19,23,0.7291920673777403,2,4,5,10,0.932485820861496,7,10,11,12,0.8099948363113327,10,19,22,11,0.963904866723483,5,10,11,13,0.9787039071087182,2,5,11,14,0.887111295732135,12,14,26,30,0.8673385960009902,5,6,10,14,-0.19809314174550074
