,Unnamed: 0.1,Unnamed: 0,a-a0,a-a1,a-a2,a-a3,a-r,b-a0,b-a1,b-a2,b-a3,b-r,c-a0,c-a1,c-a2,c-a3,c-r,top-a0,top-a1,top-a2,top-a3,top-r,d-a0,d-a1,d-a2,d-a3,d-r,e-a0,e-a1,e-a2,e-a3,e-r,f-a0,f-a1,f-a2,f-a3,f-r,g-a0,g-a1,g-a2,g-a3,g-r,h-a0,h-a1,h-a2,h-a3,h-r,i-a0,i-a1,i-a2,i-a3,i-r,j-a0,j-a1,j-a2,j-a3,j-r
0,0,0,10,13,2,3,0.690572972231439,6,14,10,16,0.8436098091766598,7,15,12,16,-0.3429603585581788,3,6,10,11,0.9799979710751896,7,10,14,16,0.9040204451798056,6,10,16,1,0.6408557027741868,3,11,13,10,0.886800658517947,10,14,16,11,0.9107786555559795,6,13,3,11,0.9565159472217497,14,13,6,11,0.9725269179164479,6,10,11,13,0.8868289965489999
1,1,1,6,9,16,14,0.2994250622729478,7,6,5,1,0.3127031671565257,3,7,10,11,0.9155618259996872,3,6,10,11,0.977864491291758,4,11,13,14,0.7860912860019875,13,11,5,3,0.8274735191696557,11,16,8,14,0.43801088416368805,6,10,11,7,0.9156103616946654,3,13,16,6,0.9646952389823804,3,9,11,14,0.6255232708871792,3,14,10,11,0.9857735767221314
2,2,2,15,7,6,11,0.7258983351529773,5,11,1,2,-0.8559708259154437,1,3,11,13,0.6708045695336835,3,6,10,11,0.9785900742335916,10,11,14,8,0.6591758506950411,7,10,11,14,0.9548540007990586,5,6,10,11,0.8717875677658484,3,14,16,11,0.8493090204613751,3,7,10,11,0.9168793636801194,3,7,16,10,0.976492485410468,6,11,14,16,0.8482868063425902
3,3,3,3,2,16,9,-0.3976644413074064,16,5,7,1,0.1859414136196435,3,13,16,10,0.9733552614608662,3,6,10,11,0.9786199062573177,10,4,11,14,0.8177410060398517,6,10,14,16,0.8478363534235434,6,7,14,10,0.9772465752120489,6,10,11,14,0.9846120720692594,6,13,16,11,0.9732215620001915,3,4,6,10,0.8416568688426764,6,7,16,11,0.9762568308796282
4,4,4,1,9,13,14,-0.4976638856947331,11,3,5,6,0.8832714866617671,10,11,13,4,0.6966979489863353,3,6,10,11,0.980808737872186,10,5,6,7,0.8467872011864963,3,6,10,16,0.9466852853125988,3,4,6,2,0.27416552089706436,6,10,11,13,0.888405145101753,5,6,10,11,0.870322616451576,3,10,11,16,0.9817621885895806,6,7,10,11,0.9206150808466974
5,5,5,1,4,5,14,-0.6595315677291409,10,15,6,12,-0.1248387504927643,3,5,6,7,0.8705608795372072,3,6,10,11,0.979117619581008,1,2,3,4,-0.9389622894084835,3,6,13,10,0.9560324307188546,7,9,16,1,-0.4246233784214972,10,11,13,14,0.9352343814870921,6,7,11,10,0.917992107034606,3,6,10,11,0.9791176195810081,3,5,10,11,0.872945756940849
6,6,6,1,4,8,14,-1.3107314196995523,3,5,10,12,0.3417499880198198,11,16,15,14,0.4554773042548381,3,6,10,11,0.9809652182380768,3,13,7,11,0.873596624730647,3,11,16,13,0.9704973081489551,6,7,10,13,0.8729051186979758,3,5,6,7,0.8675420811906618,11,10,7,16,0.9534941381719619,3,7,10,14,0.9755978723074249,6,13,14,11,0.9713458599221158
7,7,7,13,14,1,11,0.6010478453224901,6,7,9,11,0.70295483144653,3,6,11,13,0.9571349458427828,3,6,10,11,0.9811075219775705,3,13,14,16,0.8648116231088585,6,13,14,7,0.9630947196717479,5,6,11,16,0.8306592117477815,3,6,10,11,0.9811075219775705,3,6,11,13,0.9571349458427828,3,11,14,16,0.8401234350352516,3,7,14,16,0.8406937761389837
8,8,8,3,15,2,9,-1.770600904514517,3,10,11,12,0.7519600589418327,6,10,11,13,0.8863679915606208,3,6,10,11,0.9794483659766944,3,15,10,14,0.6565983128784313,3,16,13,11,0.9726418809273498,6,7,11,13,0.8713340143033927,3,7,11,13,0.8712945776025648,3,6,10,11,0.9794483659766944,6,11,3,5,0.8848164944392441,6,11,14,16,0.8456050955416405
9,9,9,3,13,14,8,0.5934295810715837,6,7,13,16,0.9622503738998536,7,10,12,13,0.558908441360292,3,6,10,11,0.9808921809076026,10,11,6,16,0.9811969046789204,3,7,13,6,0.9487863534827766,3,5,7,10,0.846967310339597,11,14,6,3,0.9488500775904218,3,6,7,10,0.9728024391692844,3,6,14,16,0.7245170875307454,3,6,7,11,0.9731550915162738
