,Unnamed: 0.1,Unnamed: 0,a-a0,a-a1,a-r,b-a0,b-a1,b-r,c-a0,c-a1,c-r,d-a0,d-a1,d-r,e-a0,e-a1,e-r,f-a0,f-a1,f-r,g-a0,g-a1,g-r,top-a0,top-a1,top-r,baseline-a0,baseline-a1,baseline-r
0,0,0,2,5,0.6533382795336315,2,5,0.8613835333508281,5,4,0.8947379312123714,2,10,0.515803140604481,9,11,0.7654959417826451,4,5,0.8222983506568655,1,6,0.3728831652850068,6,10,0.23022200805612036,2,8,0.5958978222287039
1,1,1,2,7,0.5891255150491069,2,3,0.5669974090958698,2,9,0.6955707891812117,1,4,0.839173782848201,7,10,0.6500855026579172,1,7,0.5516588109583267,6,9,0.6437393369434443,6,10,0.547191306679627,2,8,0.6645325927458308
2,2,2,6,7,0.82710448839559,4,7,0.878087719635127,2,3,0.4558175096958368,3,6,0.6000750892430242,10,4,0.9006444082228648,2,4,0.7926255981453669,1,7,0.5845762027729702,6,10,0.4945531963024514,2,8,0.9078847366203464
3,3,3,3,5,0.7567056176322668,3,8,0.8434684797633455,1,3,0.7283402273214136,2,5,0.8862910582858448,6,8,0.8553766803257824,1,9,0.3299771443433343,2,5,0.8699551743154391,6,10,0.6546208809873308,2,8,0.8326218043595992
4,4,4,9,11,0.9398561444588374,8,13,0.7282057641570908,3,8,0.85192580723479,12,8,0.8423455039941301,5,6,0.8399052319389722,9,11,0.9345355521789842,1,11,0.8768504633171359,6,10,0.5783480587075726,2,8,0.8345741595306803
5,5,5,1,6,0.5434859379226502,2,3,0.7376410072915873,2,4,0.8782088584974188,3,5,0.7344526842759675,12,11,0.8285666096840689,1,8,0.7762488616447392,12,9,0.880605719665684,6,10,0.26330184259973555,2,8,0.8257061421184192
6,6,6,7,10,0.7347840335601907,3,11,0.8347365378925405,1,4,0.5472066640704214,8,13,0.6924952076677293,2,5,0.6711295521206124,7,9,0.8922857667457886,6,7,0.727602131454022,6,10,0.647693906373382,2,8,0.8695699554557546
7,7,7,2,8,0.7619925119729563,3,4,0.7280338985284939,7,8,0.8694230184395035,6,11,0.6745514583092135,1,5,0.6859168414741293,2,9,0.8474356127818601,5,6,0.78170580915839,6,10,0.5832296737753614,2,8,0.8032597765040685
8,8,8,3,7,0.7408051331648539,1,6,0.4321788819043675,4,5,0.9264271560942854,6,5,0.827574395367714,1,4,0.5817467887273012,12,10,0.6226046781649981,6,1,0.5682357834747899,6,10,0.40664241441185756,2,8,0.8059490149437262
9,9,9,13,3,0.5076011976339125,10,12,0.7453783673139149,7,9,0.8163992428192627,6,7,0.6854887312596076,6,11,0.6594278562152082,1,9,0.5497453719475561,2,3,0.6212702426264782,6,10,0.35195458214730646,2,8,0.8222491569400835
