,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,a-a0,a-a1,a-r,b-a0,b-a1,b-r,c-a0,c-a1,c-r,d-a0,d-a1,d-r,e-a0,e-a1,e-r,f-a0,f-a1,f-r,g-a0,g-a1,g-r,top-a0,top-a1,top-r,h-a0,h-a1,h-r,i-a0,i-a1,i-r,j-a0,j-a1,j-r,k-a0,k-a1,k-r,l-a0,l-a1,l-r,m-a0,m-a1,m-r,n-a0,n-a1,n-r
0,0,0,0,0,4,9,0.7752496259996102,3,13,0.704933811771222,8,9,0.9416825893716234,6,9,0.8009808236775817,1,12,0.7836386886151391,4,12,0.8231126701587372,6,11,0.6745066452210136,6,10,0.6810946973035263,9,2,0.8006544951387393,3,7,0.9419006220874266,13,1,0.4102591755388092,3,4,0.8094897001259028,8,13,0.8114453216778547,2,5,0.6678378251192749,8,9,0.9244962133356276
1,1,1,1,1,4,9,0.8283269537493325,7,13,0.8290405685770288,1,6,0.5301152105546127,4,8,0.8453686338556736,2,4,0.7217436238284819,8,10,0.8361380717404044,3,5,0.8059600743381121,6,10,0.5628541429589566,2,13,0.5904023942396658,3,5,0.6925994401822848,4,5,0.6079821316628674,4,6,0.9197327141372864,4,3,0.776381192240432,3,13,0.6456601143346868,8,1,0.6888262966932818
2,2,2,2,2,2,10,0.888761145722329,8,12,0.854101677336919,2,8,0.9167552749661467,2,4,0.7202279763101422,4,7,0.7983479359426424,5,1,0.627877428026984,7,10,0.8977194639806153,6,10,0.4668998781421289,6,9,0.6689562282361713,7,11,0.7578575311464013,6,10,0.8530731037757585,9,4,0.9702041986699218,1,5,0.7603717751659927,5,10,0.8602141903952607,1,2,0.4073856773269008
3,3,3,3,3,1,10,0.8768490916802483,5,10,0.8877063268206895,7,9,0.9477755143013953,4,7,0.7234055349838647,3,4,0.7775693995358477,6,8,0.8207024434022496,7,12,0.8669147692645874,6,10,0.6812092721454678,8,13,0.7927050262304891,2,6,0.5379586967204282,5,6,0.5334531068704274,3,4,0.6573072500003099,3,5,0.8398512264612401,3,5,0.9364099138557982,7,10,0.7598635306158799
4,4,4,4,4,1,6,0.5047372195829627,9,1,0.7050242852054629,2,3,0.916864195602678,6,12,0.8630322705432907,4,6,0.7004450986220536,6,9,0.8268660523026483,9,3,0.8434900247251182,6,10,0.7636505565670592,2,9,0.8499352465545559,2,9,0.9115221220699268,5,7,0.7988197423178127,4,9,0.9749344268851322,5,6,0.8126269028100676,9,3,0.7214987978880945,2,11,0.798045785959737
5,5,5,5,5,10,11,0.8498314875934954,7,11,0.8430263307007784,3,4,0.7373227592424577,5,7,0.7545633012221237,7,5,0.8878973082187003,6,8,0.7384591376094758,12,4,0.89831895831635,6,10,0.6802404589307052,1,5,0.4639786721195809,12,13,0.8288598846234667,4,9,0.7841125959312131,6,13,0.5583961279695031,3,7,0.7905161799263836,1,6,0.6489955108485537,10,12,0.731306670745334
6,6,6,6,6,8,9,0.9141267391162199,4,8,0.7759354241112397,1,3,0.7258656286563301,11,7,0.7307172427500106,8,11,0.745587449652585,5,6,0.7348157536361297,8,13,0.6023019248774218,6,10,0.7491803092104747,4,5,0.6197633435703532,8,13,0.7638496585217072,4,11,0.7170411529467553,3,6,0.7605004413546113,1,13,0.5006218623516927,4,8,0.9414626394077156,3,9,0.9189277361239554
7,7,7,7,7,2,9,0.8957308535522757,3,4,0.7950072677600927,5,10,0.8189930371055739,5,8,0.6868373072903258,12,6,0.7469702609466504,6,12,0.8331230181387499,7,11,0.8299672335112162,6,10,0.5175177610504326,3,4,0.5669321543452979,1,7,0.7727265584368552,1,2,0.7663879688375688,5,11,0.9411901746337972,11,10,0.6613425194924797,5,8,0.939824704802606,1,13,0.6282616172290272
8,8,8,8,8,7,9,0.8573648404972771,1,4,0.6359200532759668,4,8,0.7544782843003828,9,1,0.6720689277565033,1,12,0.9329777116748595,7,4,0.8309396281046569,5,11,0.6183418232378861,6,10,0.4227253745658124,2,9,0.940220156786635,3,5,0.8660443841054022,7,12,0.7488225252353157,7,8,0.951704681455944,4,8,0.8747150745452026,8,9,0.8183073434217008,2,6,0.7571362081330595
9,9,9,9,9,6,9,0.8059801834311968,4,7,0.6249002387349005,4,12,0.8424486551512468,3,8,0.9553043192042275,4,7,0.7987028010348625,2,3,0.7974925367793132,3,10,0.9823615182876982,6,10,0.500066536907565,4,11,0.6306844520157726,2,8,0.8321506859513097,9,13,0.7479360297797639,11,12,0.8706200793557939,3,5,0.8602419965733592,12,4,0.9664988490731972,8,9,0.8458290334699023
