,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,a-a0,a-a1,a-r,b-a0,b-a1,b-r,c-a0,c-a1,c-r,d-a0,d-a1,d-r,e-a0,e-a1,e-r,f-a0,f-a1,f-r,g-a0,g-a1,g-r,h-a0,h-a1,h-r,i-a0,i-a1,i-r,j-a0,j-a1,j-r,top-a0,top-a1,top-r,baseline-a0,baseline-a1,baseline-r,k-a0,k-a1,k-r,l-a0,l-a1,l-r,m-a0,m-a1,m-r,n-a0,n-a1,n-r,o-a0,o-a1,o-r,p-a0,p-a1,p-r,q-a0,q-a1,q-r,r-a0,r-a1,r-r,s-a0,s-a1,s-r,t-a0,t-a1,t-r
0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0.8277986091711489,3,10,0.9126417805916772,3,12,0.9122091773587634,1,7,0.7295042847094149,1,3,0.7147914467264492,5,10,0.8265820191152231,2,8,0.9000739285514732,3,4,0.7725890401087204,9,12,0.9040575703359256,4,5,0.6049680371661594,8,12,0.9053529412337451,1,8,0.7648110383922015,5,8,0.8259335846427431,1,10,0.7655805371756842,13,8,0.768829111968603,4,6,0.6124681234761091,4,9,0.8277986091711489,12,11,0.7796549954419574,2,11,0.7533790371238201,13,10,0.7697411226478083,3,5,0.7738261128840569,6,7,0.7464619198579951
1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,0.5199429443203266,3,2,0.8706116123242176,3,6,0.7296684994973197,7,13,0.7227119869226737,4,10,0.827868470020526,8,10,0.9077465398561348,6,12,0.7887265235864949,1,4,0.5625019535140086,1,10,0.769089085820874,8,12,0.907595043690658,8,12,0.9075950436906579,1,8,0.7683176949433084,12,13,0.7706185923679975,9,6,0.7926773266796545,11,3,0.7719391712135446,6,8,0.7887265243069828,2,8,0.9020132059825404,2,4,0.7597202196438091,10,7,0.9093347447028828,13,8,0.7706185931323606,2,4,0.7597202196438091,12,13,0.7706185923679975
2,2,2,2,2,2,2,2,2,2,2,2,2,1,5,0.5712243455084043,9,6,0.801605573487325,5,9,0.8350916744345281,2,6,0.7235795612412109,5,8,0.832128645419699,3,5,0.7810577242140264,7,4,0.7950509672660364,6,9,0.801605573487325,9,13,0.7829599750286974,13,9,0.7829599750286974,8,12,0.9096212629604424,1,8,0.7731202108728799,7,8,0.91221102937227,1,12,0.773120210431897,10,5,0.8327553698278103,5,10,0.8327553698278103,11,9,0.7890256176296795,6,12,0.7977476872970319,7,8,0.91221102937227,6,7,0.7575434118530556,2,11,0.7627061039371327,2,8,0.9059648671930496
3,3,3,3,3,3,3,3,3,3,3,3,3,4,6,0.6264712591193544,4,6,0.6264712591193544,1,9,0.7772426107539467,7,8,0.9125387741069168,3,10,0.9183915099859004,2,4,0.7665966620458493,1,4,0.5706296214033298,2,10,0.9068747189810724,3,8,0.9179831923918615,9,8,0.9082730048799272,8,12,0.9096908260858784,1,8,0.773765585866206,6,7,0.7589094936573775,1,12,0.773765585432278,2,7,0.8848392933077873,7,12,0.9125387739842412,7,6,0.7589094936573775,8,3,0.9179831923918615,6,3,0.7411607678450328,2,8,0.9064469719108128,10,13,0.7807602833139153,3,12,0.917983192161674
4,4,4,4,4,4,4,4,4,4,4,4,4,5,7,0.7915571385344198,3,9,0.916681665315597,3,4,0.7746059242001953,7,8,0.9102241820002775,6,10,0.7897311918894347,2,12,0.9029029262780108,1,10,0.7701725471336527,6,12,0.7888982694682728,1,3,0.7181693472233857,4,6,0.6131211531427474,8,12,0.9093650435538972,1,8,0.7693954886072778,2,9,0.9045411432946674,8,1,0.7693954886072778,7,11,0.7752637893467187,2,3,0.8705770526735124,6,12,0.7888982694682728,3,7,0.8915977625876381,8,5,0.8290757734068293,2,3,0.8705770526735124,13,6,0.4707919804779419,4,7,0.7903609664525245
5,5,5,5,5,5,5,5,5,5,5,5,5,2,3,0.8787531921082246,4,9,0.8382158513160823,5,1,0.5776937056734246,3,7,0.8986232117743045,7,12,0.9148038462579886,2,4,0.7698285899882953,9,6,0.804166052506029,6,2,0.7265381329854044,5,7,0.8006668057605492,2,5,0.7710093962441518,8,12,0.912037037010032,1,8,0.7779379453352977,8,10,0.9121618010670508,2,4,0.7698285899882953,2,8,0.9086920652393924,3,9,0.9217504756111664,4,12,0.8352761272941989,7,9,0.9152984211069596,5,7,0.8006668057605492,3,11,0.7811064580371767,10,2,0.9091183733931498,8,9,0.9106083509968876
6,6,6,6,6,6,6,6,6,6,6,6,6,10,7,0.9124367109926644,11,5,0.6962022282689444,4,9,0.8340632686901404,3,11,0.7768352573346917,9,13,0.7775773654731235,5,3,0.7789761605444137,7,9,0.9127547047546142,5,1,0.5694611244014558,5,6,0.6179516686942428,7,8,0.9121001660201896,8,12,0.9112046993960675,1,8,0.7732805961076449,12,1,0.7732805956053994,1,8,0.7732805961076449,13,10,0.7740032758431727,1,4,0.5673590336361378,4,6,0.6158346151346582,5,8,0.832115014978938,2,6,0.713920289546555,8,7,0.9121001660201896,8,13,0.7730894353900456,1,8,0.7732805961076449
7,7,7,7,7,7,7,7,7,7,7,7,7,3,12,0.9128923966124636,1,6,0.514720732914584,1,2,0.6983313441082559,2,9,0.9021189335571994,9,5,0.8300535723703637,9,10,0.9060982070223056,8,10,0.907345410328505,3,9,0.9145410488522048,2,4,0.7571389872612868,7,12,0.9078922122786977,8,12,0.9071833220603849,1,8,0.7665569631812145,5,1,0.5616942399189753,1,6,0.514720732914584,13,3,0.6971660731456809,3,1,0.7153704787878895,2,7,0.8768903202603476,6,8,0.7847607851044243,7,2,0.8768903202603476,10,2,0.9009302372757996,2,6,0.7079927886333532,4,1,0.559568526377211
8,8,8,8,8,8,8,8,8,8,8,8,8,7,1,0.7424995253188229,4,7,0.7981705649207119,1,2,0.7110650347475597,6,10,0.7946841460516259,1,13,0.4798773490463046,8,10,0.912668488762343,2,7,0.8845814092649354,2,7,0.8845814092649354,7,10,0.9144574956813214,7,10,0.9144574956813214,8,12,0.9125267829102826,1,8,0.7779452657538382,4,11,0.699745867997944,2,8,0.9073276633566124,7,12,0.9141327365210062,12,3,0.91945677599195,1,9,0.7815034216378285,3,10,0.9198796139716952,6,10,0.7946841460516259,8,12,0.9125267829102826,3,8,0.919456776274336,4,10,0.8356988859909993
9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,0.9003178224905999,13,11,0.5639619100620065,6,7,0.7396414976266592,2,10,0.8991471657819401,10,11,0.7804765831145065,11,12,0.7800049328764319,1,5,0.5620681285334848,6,7,0.7396414976266592,6,11,0.5640649227871644,1,4,0.5599393475658192,8,12,0.9051466762236031,1,8,0.7653214284334515,11,1,0.5646112171534529,3,12,0.9113436606818835,3,6,0.7219052324498063,6,7,0.7396414976266592,5,2,0.7583142196626587,5,7,0.7891502842928404,5,7,0.7891502842928404,3,8,0.9113436609838412,6,2,0.7047744154577131,11,13,0.5639619100620065
