,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,a-a0,a-a1,a-r,b-a0,b-a1,b-r,c-a0,c-a1,c-r,d-a0,d-a1,d-r,e-a0,e-a1,e-r,f-a0,f-a1,f-r,g-a0,g-a1,g-r,h-a0,h-a1,h-r,i-a0,i-a1,i-r,j-a0,j-a1,j-r,k-a0,k-a1,k-r,l-a0,l-a1,l-r,m-a0,m-a1,m-r,n-a0,n-a1,n-r,o-a0,o-a1,o-r,p-a0,p-a1,p-r,q-a0,q-a1,q-r,r-a0,r-a1,r-r,s-a0,s-a1,s-r,t-a0,t-a1,t-r,top-a0,top-a1,top-r,baseline-a0,baseline-a1,baseline-r,u-a0,u-a1,u-r,v-a0,v-a1,v-r,w-a0,w-a1,w-r,x-a0,x-a1,x-r,y-a0,y-a1,y-r
0,0,0,0,0,2,10,0.9005259215281745,10,3,0.9126417805916773,10,3,0.9126417805916773,10,9,0.9041868934567604,9,10,0.9041868934567604,10,9,0.9041868934567604,3,10,0.9126417805916773,3,10,0.9126417805916773,3,10,0.9126417805916773,3,10,0.9126417805916773,8,11,0.7796549955632401,8,12,0.9053529412337451,8,13,0.768829111968603,8,10,0.9055040260734992,8,13,0.768829111968603,8,12,0.9053529412337451,8,12,0.9053529412337451,8,12,0.9053529412337451,8,7,0.9069648563075158,8,12,0.9053529412337451,10,8,0.9055040260734992,1,8,0.7648110383922015,2,9,0.9016558132510056,9,10,0.9041868934567604,9,10,0.9041868934567604,8,2,0.9000739285514732,10,8,0.9055040260734992
1,1,1,1,1,2,10,0.9024652999643421,10,3,0.9146586486561684,10,3,0.9146586486561684,10,9,0.9064267780127638,9,10,0.9064267780127638,10,9,0.9064267780127638,3,10,0.9146586486561684,3,10,0.9146586486561684,3,10,0.9146586486561684,3,10,0.9146586486561684,8,11,0.7837482852213318,8,12,0.9075950436906579,8,13,0.7706185931323606,8,10,0.9077465398561348,8,13,0.7706185931323606,8,12,0.9075950436906579,8,12,0.9075950436906579,8,12,0.9075950436906579,8,7,0.9090001588300598,8,12,0.9075950436906579,10,8,0.9077465398561348,1,8,0.7683176949433084,2,9,0.9035922352950945,9,10,0.9064267780127638,9,10,0.9064267780127638,8,2,0.9020132059825404,10,8,0.9077465398561348
2,2,2,2,2,2,10,0.9063964130699383,10,3,0.9180557620165882,10,3,0.9180557620165882,10,9,0.9083291956813602,9,10,0.9083291956813602,10,9,0.9083291956813602,3,10,0.9180557620165882,3,10,0.9180557620165882,3,10,0.9180557620165882,3,10,0.9180557620165882,8,11,0.7874827707186554,8,12,0.9096212629604424,8,13,0.7786009230281079,8,10,0.9097512342757073,8,13,0.7786009230281079,8,12,0.9096212629604424,8,12,0.9096212629604424,8,12,0.9096212629604424,8,7,0.91221102937227,8,12,0.9096212629604424,10,8,0.9097512342757073,1,8,0.7731202108728799,2,9,0.9074459473769247,9,10,0.9083291956813602,9,10,0.9083291956813602,8,2,0.9059648671930496,10,8,0.9097512342757073
3,3,3,3,3,2,10,0.9068747189810725,10,3,0.9183915099859004,10,3,0.9183915099859004,10,9,0.9083771781779852,9,10,0.9083771781779852,10,9,0.9083771781779852,3,10,0.9183915099859004,3,10,0.9183915099859004,3,10,0.9183915099859004,3,10,0.9183915099859004,8,11,0.7872392604117129,8,12,0.9096908260858784,8,13,0.7798719419696029,8,10,0.9098167965344156,8,13,0.7798719419696029,8,12,0.9096908260858784,8,12,0.9096908260858784,8,12,0.9096908260858784,8,7,0.9125387741069169,8,12,0.9096908260858784,10,8,0.9098167965344156,1,8,0.773765585866206,2,9,0.9079110846770915,9,10,0.9083771781779852,9,10,0.9083771781779852,8,2,0.9064469719108128,10,8,0.9098167965344156
4,4,4,4,4,2,10,0.9033600404793836,10,3,0.9154837019555067,10,3,0.9154837019555067,10,9,0.9082612760281258,9,10,0.9082612760281258,10,9,0.9082612760281258,3,10,0.9154837019555067,3,10,0.9154837019555067,3,10,0.9154837019555067,3,10,0.9154837019555067,8,11,0.7857839340942785,8,12,0.9093650435538972,8,13,0.7707612090483593,8,10,0.9095216663227702,8,13,0.7707612090483593,8,12,0.9093650435538972,8,12,0.9093650435538972,8,12,0.9093650435538972,8,7,0.9102241820002777,8,12,0.9093650435538972,10,8,0.9095216663227702,1,8,0.7693954886072778,2,9,0.9045411432946674,9,10,0.9082612760281258,9,10,0.9082612760281258,8,2,0.9029029265791051,10,8,0.9095216663227702
5,5,5,5,5,2,10,0.9091183733931498,10,3,0.9207062024870679,10,3,0.9207062024870679,10,9,0.9107113106845451,9,10,0.9107113106845451,10,9,0.9107113106845451,3,10,0.9207062024870679,3,10,0.9207062024870679,3,10,0.9207062024870679,3,10,0.9207062024870679,8,11,0.7913443671981342,8,12,0.912037037010032,8,13,0.7822465900562745,8,10,0.9121618010670507,8,13,0.7822465900562745,8,12,0.912037037010032,8,12,0.912037037010032,8,12,0.912037037010032,8,7,0.9148038463843197,8,12,0.912037037010032,10,8,0.9121618010670508,1,8,0.7779379453352977,2,9,0.9101460093878923,9,10,0.9107113106845451,9,10,0.9107113106845451,8,2,0.9086920652393925,10,8,0.9121618010670507
6,6,6,6,6,2,10,0.9052880791272409,10,3,0.9174562666383638,10,3,0.9174562666383638,10,9,0.9100716541094263,9,10,0.9100716541094263,10,9,0.9100716541094263,3,10,0.9174562666383638,3,10,0.9174562666383638,3,10,0.9174562666383638,3,10,0.9174562666383638,8,11,0.7894459945514212,8,12,0.9112046993960675,8,13,0.7730894353900456,8,10,0.9113583800754512,8,13,0.7730894353900456,8,12,0.9112046993960675,8,12,0.9112046993960675,8,12,0.9112046993960675,8,7,0.9121001660201895,8,12,0.9112046993960675,10,8,0.9113583800754512,1,8,0.7732805961076449,2,9,0.9064463122576005,9,10,0.9100716541094263,9,10,0.9100716541094263,8,2,0.9048341216532605,10,8,0.9113583800754512
7,7,7,7,7,2,10,0.9009302372757997,10,3,0.9133353756450322,10,3,0.9133353756450322,10,9,0.9060982070223057,9,10,0.9060982070223057,10,9,0.9060982070223057,3,10,0.9133353756450322,3,10,0.9133353756450322,3,10,0.9133353756450322,3,10,0.9133353756450322,8,11,0.7827627733909928,8,12,0.9071833220603849,8,13,0.7671145636005037,8,10,0.907345410328505,8,13,0.7671145636005037,8,12,0.9071833220603849,8,12,0.9071833220603849,8,12,0.9071833220603849,8,7,0.9078922124575322,8,12,0.9071833220603849,10,8,0.907345410328505,1,8,0.7665569631812145,2,9,0.9021189335571994,9,10,0.9060982070223057,9,10,0.9060982070223057,8,2,0.9004678692146759,10,8,0.907345410328505
8,8,8,8,8,2,10,0.9077699297697541,10,3,0.9198796139716952,10,3,0.9198796139716952,10,9,0.9113031116500991,9,10,0.9113031116500991,10,9,0.9113031116500991,3,10,0.9198796139716952,3,10,0.9198796139716952,3,10,0.9198796139716952,3,10,0.9198796139716952,8,11,0.7926030396257785,8,12,0.9125267829102826,8,13,0.7775068156142091,8,10,0.912668488762343,8,13,0.7775068156142091,8,12,0.9125267829102826,8,12,0.9125267829102826,8,12,0.9125267829102826,8,7,0.9141327366890103,8,12,0.9125267829102826,10,8,0.912668488762343,1,8,0.7779452657538382,2,9,0.9088645640464552,9,10,0.9113031116500991,9,10,0.9113031116500991,8,2,0.9073276633566124,10,8,0.912668488762343
9,9,9,9,9,2,10,0.8991471657819401,10,3,0.9117875606047785,10,3,0.9117875606047785,10,9,0.9040448288550457,9,10,0.9040448288550457,10,9,0.9040448288550457,3,10,0.9117875606047785,3,10,0.9117875606047785,3,10,0.9117875606047785,3,10,0.9117875606047785,8,11,0.7800049330237012,8,12,0.9051466762236031,8,13,0.7648263978369592,8,10,0.9053098006263792,8,13,0.7648263978369592,8,12,0.9051466762236031,8,12,0.9051466762236031,8,12,0.9051466762236031,8,7,0.9060165108164587,8,12,0.9051466762236031,10,8,0.9053098006263792,1,8,0.7653214284334515,2,9,0.9003178224905999,9,10,0.9040448288550457,9,10,0.9040448288550457,8,2,0.8986838784893223,10,8,0.9053098006263792
