,a-a0,a-a1,a-r,b-a0,b-a1,b-r,c-a0,c-a1,c-r,d-a0,d-a1,d-r,e-a0,e-a1,e-r,f-a0,f-a1,f-r,g-a0,g-a1,g-r,h-a0,h-a1,h-r,i-a0,i-a1,i-r,j-a0,j-a1,j-r,k-a0,k-a1,k-r,l-a0,l-a1,l-r,m-a0,m-a1,m-r,n-a0,n-a1,n-r,o-a0,o-a1,o-r,p-a0,p-a1,p-r,q-a0,q-a1,q-r,r-a0,r-a1,r-r,s-a0,s-a1,s-r,t-a0,t-a1,t-r,top-a0,top-a1,top-r,baseline-a0,baseline-a1,baseline-r,u-a0,u-a1,u-r,v-a0,v-a1,v-r,w-a0,w-a1,w-r,x-a0,x-a1,x-r,y-a0,y-a1,y-r
0,3,12,0.9122091773587634,6,2,0.7119208245452477,4,6,0.6124681234761091,1,6,0.517447475665708,1,3,0.7147914467264492,1,3,0.7147914467264492,7,9,0.907589184902303,2,9,0.9016558132510056,4,7,0.7879239286487385,8,10,0.9055040260734992,13,7,0.7210914042219951,6,7,0.7464619198579951,3,11,0.7680900511267015,4,13,0.5468096436856347,3,2,0.8688726677364228,1,10,0.7655805371756842,4,12,0.8247335653085222,2,8,0.9000739285514732,2,1,0.6980582157352877,5,12,0.8259335841714152,10,8,0.9055040260734992,1,8,0.7648110383922015,13,8,0.768829111968603,5,9,0.8289968886248409,6,8,0.7875062928815881,1,3,0.7147914467264492,2,13,0.6825939322746303
1,11,10,0.7842114072691194,2,10,0.902465299964342,3,8,0.9142259496492364,4,2,0.7597202196438091,3,13,0.7015200242507087,3,6,0.7296684994973197,7,8,0.9090001588300598,6,10,0.7895550691125148,8,12,0.907595043690658,7,12,0.9090001586674572,4,6,0.6140092074270288,8,13,0.7706185931323606,3,5,0.7760695634333292,6,9,0.7926773266796545,8,12,0.907595043690658,5,8,0.8283910613917203,7,10,0.9093347447028828,3,6,0.7296684994973197,8,11,0.7837482852213318,2,5,0.7609314519651886,10,8,0.9077465398561348,1,8,0.7683176949433084,6,13,0.4721654063093543,8,12,0.907595043690658,4,12,0.8272150326963239,5,13,0.5508721170660167,6,11,0.5725205793248629
2,3,5,0.7810577242140264,2,4,0.7652699438526416,4,13,0.5584166451926345,9,4,0.8339303138318246,7,13,0.7317283250022453,2,7,0.8841209622327514,2,13,0.6938215989704597,13,5,0.5604514051322849,8,3,0.9176436386870594,9,2,0.9074459473769249,2,7,0.8841209622327514,4,13,0.5584166451926345,3,4,0.779857533582252,2,1,0.7078871637752004,2,3,0.8758087504061658,13,12,0.7786009223300587,8,12,0.9096212629604424,8,11,0.7874827707186554,1,5,0.5712243455084043,8,2,0.9059648671930496,10,8,0.9097512342757073,1,8,0.7731202108728799,3,11,0.7769766617105662,12,7,0.912211029242846,2,8,0.9059648671930496,8,6,0.7977476879581055,8,11,0.7874827707186554
3,5,7,0.797428125385624,7,13,0.7332250680580976,1,6,0.5332078638701938,5,8,0.833087350883781,4,9,0.8348638382646456,10,13,0.7807602833139153,6,7,0.7589094936573775,5,6,0.6286086067385095,2,3,0.876530576730942,10,4,0.8325423927468962,5,11,0.6966065807412908,2,7,0.8848392933077873,8,10,0.9098167965344156,1,2,0.7089335472272194,2,3,0.876530576730942,2,7,0.8848392933077873,12,13,0.7798719412769273,2,4,0.7665966620458493,1,4,0.5706296214033298,3,8,0.9179831923918615,10,8,0.9098167965344156,1,8,0.773765585866206,7,12,0.9125387739842412,11,12,0.7872392603138807,2,9,0.9079110846770916,2,4,0.7665966620458493,2,5,0.767803624578619
4,1,10,0.7701725471336527,6,8,0.7888982701928644,3,5,0.7758167284694604,5,8,0.8290757734068293,4,6,0.6131211531427474,7,3,0.8915977625876381,3,9,0.916681665315597,8,3,0.91504598857584,9,6,0.792908543350658,1,2,0.7014144565803742,12,6,0.7888982694682728,13,8,0.7707612090483593,1,5,0.5645645853534789,2,5,0.760747391983842,11,12,0.7857839339488678,2,6,0.7122986321204616,2,4,0.7595380122303749,9,10,0.9082612760281258,9,11,0.787486395674361,13,8,0.7707612090483593,10,8,0.9095216663227702,1,8,0.7693954886072778,3,7,0.8915977625876381,4,7,0.7903609664525245,10,5,0.8297310867185326,5,11,0.6914187860124998,8,3,0.91504598857584
5,9,11,0.7928607237264896,12,2,0.9086920649827276,5,6,0.631098362308803,8,1,0.7779379453352977,2,3,0.8787531921082246,3,4,0.7843524566768431,1,2,0.7129402236653154,8,6,0.8003354090718696,8,2,0.9086920652393924,8,13,0.7822465900562745,12,2,0.9086920649827276,4,3,0.7843524566768431,9,13,0.7865801518576379,9,11,0.7928607237264896,3,7,0.8986232117743045,2,4,0.7698285899882953,8,12,0.912037037010032,2,7,0.8870116659331532,2,12,0.9086920649827276,7,8,0.9148038463843196,10,8,0.9121618010670508,1,8,0.7779379453352977,1,11,0.581481169211366,2,5,0.7710093962441518,8,7,0.9148038463843196,3,10,0.920706202487068,9,2,0.9101460093878924
6,4,13,0.5513555697915473,5,13,0.553378274329003,8,11,0.7894459945514212,1,10,0.7740562387082769,5,13,0.553378274329003,6,9,0.7943155261586954,1,13,0.4722973784756979,6,11,0.5762545372586021,8,10,0.9113583800754512,9,8,0.9099397404258928,13,1,0.4722973784756979,9,6,0.7943155261586954,4,11,0.6938447377457435,7,10,0.9124367109926644,1,10,0.7740562387082769,2,3,0.8726488547481079,7,8,0.9121001660201896,8,12,0.9112046993960676,5,7,0.7946210255437858,8,4,0.8309649049904784,10,8,0.9113583800754512,1,8,0.7732805961076449,3,4,0.7777895868224708,7,9,0.9127547047546142,2,4,0.7626721237499059,1,2,0.7053296873172918,2,10,0.9052880791272409
7,3,10,0.9133353756450322,4,11,0.6860758514608394,8,9,0.905957880558874,3,4,0.7724960651444206,5,9,0.8300535723703637,3,4,0.7724960651444206,1,2,0.6983313441082559,3,12,0.9128923966124636,4,9,0.8288809152486571,9,1,0.7702248206026838,10,5,0.8275797027756748,8,9,0.905957880558874,3,4,0.7724960651444206,12,11,0.7827627732450338,11,3,0.7700994712804843,2,4,0.7571389872612868,8,9,0.905957880558874,8,3,0.9128923969052708,6,3,0.7249077057626636,3,7,0.8893134917947355,10,8,0.907345410328505,1,8,0.7665569631812145,3,12,0.9128923966124636,9,5,0.8300535723703637,3,10,0.9133353756450322,7,9,0.9085857756700528,1,10,0.7673398622673777
8,13,11,0.5815603144211098,7,11,0.7828297173779045,3,5,0.7840420426455443,3,1,0.7278246533409978,6,7,0.7529756797262355,7,9,0.9147108452215178,7,9,0.9147108452215178,9,12,0.911183199019233,2,4,0.7678167800046274,3,5,0.7840420426455443,1,10,0.778710086384695,4,7,0.7981705649207119,7,9,0.9147108452215178,2,3,0.8761819944633302,1,7,0.7424995253188229,3,11,0.7811226758983805,8,10,0.912668488762343,12,4,0.8350522233046784,8,10,0.912668488762343,4,8,0.8350522237972949,10,8,0.912668488762343,1,8,0.7779452657538382,3,8,0.919456776274336,13,6,0.4794556871842665,2,11,0.7663750814274654,6,8,0.7938683614306589,10,11,0.7930562983303712
9,6,9,0.7851979878925053,1,2,0.6973151165207472,8,10,0.9053098006263792,1,3,0.7145982724057701,3,10,0.9117875606047784,10,7,0.9063624267335744,3,6,0.7219052324498063,13,7,0.7164454503950513,2,8,0.8986838784893223,2,9,0.9003178224905999,1,7,0.7292304331120724,3,6,0.7219052324498063,1,2,0.6973151165207472,3,6,0.7219052324498063,11,8,0.7800049330237012,7,8,0.9060165108164588,2,7,0.875269561601968,2,8,0.8986838784893223,12,6,0.7811940576376691,1,13,0.4621912700645518,10,8,0.9053098006263792,1,8,0.7653214284334515,3,9,0.9129753167381784,2,7,0.875269561601968,10,8,0.9053098006263792,4,7,0.7879509930891425,4,1,0.5599393475658192
