,a-a0,a-a1,a-r,b-a0,b-a1,b-r,c-a0,c-a1,c-r,d-a0,d-a1,d-r,e-a0,e-a1,e-r,f-a0,f-a1,f-r,g-a0,g-a1,g-r,h-a0,h-a1,h-r,i-a0,i-a1,i-r,j-a0,j-a1,j-r,k-a0,k-a1,k-r,l-a0,l-a1,l-r,m-a0,m-a1,m-r,n-a0,n-a1,n-r,o-a0,o-a1,o-r,p-a0,p-a1,p-r,q-a0,q-a1,q-r,r-a0,r-a1,r-r,s-a0,s-a1,s-r,t-a0,t-a1,t-r,u-a0,u-a1,u-r,v-a0,v-a1,v-r,w-a0,w-a1,w-r,x-a0,x-a1,x-r,y-a0,y-a1,y-r
0,2,10,0.9352172263867475,10,3,0.8764872495649636,10,3,0.9641067130014114,10,9,0.9615646771122691,9,10,0.9107308298503971,10,9,0.9318021083972982,3,10,0.9774769061471695,3,10,0.8889411423761902,3,10,0.9695832049257773,3,10,0.9603142652984836,8,11,0.7485455164226278,8,12,0.8805530438556239,8,13,0.8013130088160811,8,10,0.8671712783940241,8,13,0.897477124599523,8,12,0.8433878385642744,8,12,0.8360252094485991,8,12,0.9400346498124227,8,7,0.8957114725129618,8,12,0.8994634220929303,2,9,0.9615214617438104,9,10,0.9474008563365306,9,10,0.9492661706505169,8,2,0.9765433626421396,10,8,0.8427258559087363
1,2,10,0.8740191753460103,10,3,0.8930511925591536,10,3,0.9145587912641835,10,9,0.8875155357621596,9,10,0.9536367765738768,10,9,0.8960789453875269,3,10,0.9546037602456269,3,10,0.9151374555146946,3,10,0.9137055006814847,3,10,0.9140410705951542,8,11,0.755222779340449,8,12,0.9363191655805948,8,13,0.8106325276932594,8,10,0.863402382343762,8,13,0.7166410538560841,8,12,0.881109664714556,8,12,0.851840338191885,8,12,0.8791292215010794,8,7,0.913525769521355,8,12,0.9495707121323926,2,9,0.9510525185302429,9,10,0.9491789827802743,9,10,0.9545816642007717,8,2,0.8980729127778397,10,8,0.9275199525580959
2,2,10,0.8585916222281916,10,3,0.9473629318550901,10,3,0.859948669258157,10,9,0.8405355041881055,9,10,0.795459501703865,10,9,0.8927131021065502,3,10,0.9701976362183168,3,10,0.9501393514752066,3,10,0.9689756104976059,3,10,0.9119288067244748,8,11,0.8538913858600112,8,12,0.9545955516891841,8,13,0.8093595810508686,8,10,0.8368160024669528,8,13,0.9042218361096939,8,12,0.939316591171631,8,12,0.9459364343939586,8,12,0.91858478011707,8,7,0.9370059628915174,8,12,0.872846437609743,2,9,0.8513268915704991,9,10,0.9138516513245409,9,10,0.9282382729775959,8,2,0.8648788744439526,10,8,0.8374466514570389
3,2,10,0.8763232507280684,10,3,0.9463068442004082,10,3,0.8826963648787138,10,9,0.9637153796791081,9,10,0.8849466756368614,10,9,0.9339766666495928,3,10,0.8772869883567995,3,10,0.8978065504413442,3,10,0.9642938695664963,3,10,0.8653119566196676,8,11,0.7056999713851547,8,12,0.9459690627254835,8,13,0.8110848875619392,8,10,0.9167119019492626,8,13,0.7560656962726594,8,12,0.945691580186871,8,12,0.8946513555427513,8,12,0.8987034500509083,8,7,0.9349497348587841,8,12,0.8871612495239095,2,9,0.9344848720682106,9,10,0.8874914456559961,9,10,0.8899780868626971,8,2,0.9093375566710482,10,8,0.9413249416730658
4,2,10,0.9465158336369118,10,3,0.9410308049422407,10,3,0.9544200870099175,10,9,0.9415729250563178,9,10,0.9292981820892707,10,9,0.9094877449257233,3,10,0.9134667840553833,3,10,0.9140458791795193,3,10,0.9214450404055705,3,10,0.9734795562516194,8,11,0.9057083679730754,8,12,0.9391820683720609,8,13,0.7395437109129586,8,10,0.8683210434360298,8,13,0.7230400742890031,8,12,0.8792704693010794,8,12,0.8821272268829099,8,12,0.806288232202033,8,7,0.9491290216385193,8,12,0.8756777582801974,2,9,0.926297057272619,9,10,0.9467049173915255,9,10,0.9297919344627908,8,2,0.9663463405560733,10,8,0.8870071127070194
5,2,10,0.8598304975883051,10,3,0.944686661812122,10,3,0.937523558588694,10,9,0.8929027352626336,9,10,0.9561639163801086,10,9,0.9247513811459315,3,10,0.9117085779967002,3,10,0.9112182616713674,3,10,0.9294302690117641,3,10,0.969166610446372,8,11,0.6575122127857428,8,12,0.8571728831018293,8,13,0.8220134356070674,8,10,0.884825465690264,8,13,0.6996347432948438,8,12,0.8468080350379478,8,12,0.9549503049127844,8,12,0.8810701829775864,8,7,0.9667848154453199,8,12,0.9345164149046147,2,9,0.8630739565159206,9,10,0.9275792843661058,9,10,0.9245393946799085,8,2,0.8656508669388424,10,8,0.9694073882599369
6,2,10,0.8759812648273246,10,3,0.9171657696489208,10,3,0.9696702482822381,10,9,0.8505087606212585,9,10,0.8981804339117228,10,9,0.9421672424416426,3,10,0.9617330238370903,3,10,0.9257173487994385,3,10,0.940167948904156,3,10,0.9493487457315029,8,11,0.8676973829164494,8,12,0.8710164404239525,8,13,0.8656394799298941,8,10,0.886326233191003,8,13,0.8069333856587774,8,12,0.9532003827217579,8,12,0.9313359998536699,8,12,0.864263020755196,8,7,0.8215277256133174,8,12,0.9424241285297891,2,9,0.8353452054066663,9,10,0.9368282160581926,9,10,0.9041466779849645,8,2,0.9185465787149202,10,8,0.9326941239440039
7,2,10,0.9413132234070373,10,3,0.8944938169498641,10,3,0.9629174408806344,10,9,0.9288251738813454,9,10,0.779811500392704,10,9,0.9254788613550519,3,10,0.9312548384708741,3,10,0.9559121726141601,3,10,0.9265736431830683,3,10,0.9310252842257308,8,11,0.8799426093026538,8,12,0.8883355567252941,8,13,0.8378538848608565,8,10,0.9032484019771005,8,13,0.8476350288438723,8,12,0.9336366523347785,8,12,0.8315007083884689,8,12,0.8878009109372927,8,7,0.9585300477463692,8,12,0.8410589333066567,2,9,0.9591664521648116,9,10,0.8843767470027528,9,10,0.8785604933102,8,2,0.9117924894663363,10,8,0.9159841624862173
8,2,10,0.9576677165778669,10,3,0.8841508928593614,10,3,0.9583995319273175,10,9,0.9062766986650216,9,10,0.9380208481419423,10,9,0.9142687106374661,3,10,0.9061495183733401,3,10,0.9627371109041993,3,10,0.8763384806654797,3,10,0.9046072101815821,8,11,0.8590585687201315,8,12,0.8445516654920173,8,13,0.8195511973434357,8,10,0.9035702534896699,8,13,0.8947399760398304,8,12,0.9245887943642708,8,12,0.9264597702388874,8,12,0.9198185063668755,8,7,0.9727869203220633,8,12,0.8567048654336868,2,9,0.9310163610054296,9,10,0.9267264245635605,9,10,0.9343392483238595,8,2,0.9769636175813625,10,8,0.9356359394690481
9,2,10,0.9283784023433428,10,3,0.9135687751996308,10,3,0.9426603116045773,10,9,0.8543263256451114,9,10,0.9071288090537502,10,9,0.9593148866233507,3,10,0.9469029863227865,3,10,0.9373362802711611,3,10,0.9096587981448208,3,10,0.9358597333249878,8,11,0.7458247368179636,8,12,0.8524535202114409,8,13,0.8348387566163551,8,10,0.9085536460556065,8,13,0.6804943171702547,8,12,0.9155010792802365,8,12,0.917433918714178,8,12,0.8160937065019286,8,7,0.8972637699647463,8,12,0.9226905416396851,2,9,0.8420637146520009,9,10,0.8367459718951842,9,10,0.8354840239971479,8,2,0.8862879285439502,10,8,0.8808962613173243
