,a-a0,a-a1,a-r,b-a0,b-a1,b-r,c-a0,c-a1,c-r,d-a0,d-a1,d-r,e-a0,e-a1,e-r,f-a0,f-a1,f-r,g-a0,g-a1,g-r
0,7,6,0.6506303071216781,3,10,0.7672283186186417,7,2,0.675907459986207,5,10,0.8102238112004203,1,5,0.632814750691193,9,10,0.8254594166826156,2,4,0.7525477551515116
1,4,11,0.94940583562971,4,1,0.7895778361825025,4,9,0.9268297953847711,9,10,0.8743998827253008,4,11,0.8016746394914783,1,10,0.574012614898537,6,9,0.7839742575101039
2,13,1,0.48735063100345066,7,8,0.8535703460402215,1,3,0.446719568639245,6,8,0.8271035311671111,11,12,0.8596578271232249,6,9,0.815082274879834,6,10,0.5724750445714863
3,1,2,0.389395354224511,1,11,0.8365765519322207,13,2,0.6211224847242798,6,8,0.7583572082609429,4,5,0.8922601922723696,2,6,0.475800866517025,9,1,0.53162652527792
4,1,11,0.8219881797288465,5,13,0.8201765860396546,6,11,0.8927991807853156,8,10,0.8659578729324077,5,12,0.9040521307437519,4,6,0.6545326188447766,6,9,0.6987633207885464
5,1,6,0.27809493976075084,11,5,0.8759746127243437,13,6,0.5565023776292772,6,11,0.8110229327708157,10,11,0.8691702646688813,5,8,0.9304240119139205,10,11,0.8516275960578478
6,1,6,0.6551835308670835,2,4,0.8400380890426877,11,12,0.9146118401566212,2,6,0.6672935207069952,5,6,0.8032228824662138,4,5,0.8041860409197545,9,13,0.777111940092605
7,5,10,0.8813050836215481,11,6,0.8672090683296907,1,4,0.787213707611344,11,6,0.7245775018056478,6,7,0.8412665878713135,6,7,0.752445481009501,6,9,0.6745972705759229
8,9,7,0.8681366896434808,4,10,0.5403278791775601,4,5,0.7853292688822936,3,4,0.9208536448013497,6,8,0.7734772703497255,4,6,0.6448590268536258,5,6,0.7922963294861605
9,2,9,0.6517173154506675,8,10,0.6204067285949646,1,8,0.8020870057235765,1,4,0.8900209718578795,5,9,0.784632129336966,7,9,0.8580052526558839,9,4,0.8897441480932723
10,9,11,0.8785961296725306,2,3,0.6436367393660537,7,6,0.5757391474584156,7,12,0.8780415688915063,10,11,0.8502537510576527,6,11,0.8720788409893494,1,6,0.6054044110576577
11,3,9,0.7934885215720789,4,5,0.8481410035778922,5,11,0.8717014839103537,3,6,0.6532602320117396,4,6,0.8140627187755713,5,12,0.8794820750815052,6,12,0.6037374894865429
12,4,10,0.8602904959354281,7,2,0.7164875317803594,5,12,0.8985634449392848,6,10,0.4889621812992698,6,7,0.5628801270554169,6,13,0.5648108819458144,5,6,0.7871541954803165
13,1,4,0.7314390763846191,8,9,0.726678188853543,9,7,0.6175213650358071,5,7,0.9183312798993145,1,5,0.6356254202657763,5,10,0.6170967578770745,1,10,0.3984940643142286
14,12,4,0.8338108202637073,1,12,0.636635964790244,4,7,0.8004191524571762,5,6,0.7029248091822915,6,8,0.8390155839158627,5,7,0.8402056500111723,10,4,0.7765921442826726
15,11,4,0.9393348096557361,1,9,0.7836214354501454,5,8,0.8332530587020474,5,12,0.9538685431485319,5,6,0.7596182454901275,5,6,0.898190173847704,4,10,0.7100607980751465
16,1,6,0.4892829595729242,2,10,0.6601647535049414,4,8,0.7423312874222834,4,13,0.7961789652011086,1,6,0.5227281623392157,5,6,0.7882041325539249,1,8,0.8350764944603677
17,8,11,0.8240582151016169,10,8,0.8358867725195082,1,5,0.7825020369479208,3,5,0.6102488432095866,4,10,0.8807272890771334,10,8,0.6525966483162964,1,8,0.5253097191007975
18,6,7,0.629779728546397,4,6,0.8112004331361458,2,4,0.7817447705411089,6,7,0.727629904507846,2,4,0.6710812623981897,1,7,0.6879917417271608,7,10,0.5430093412126171
19,6,7,0.7291201607032034,4,10,0.559246275674858,1,2,0.009291332619136616,2,7,0.6682981219790636,4,5,0.8751107035700043,1,8,0.8508569746882321,4,11,0.9005915145675556
20,1,2,0.6558810271463889,2,3,0.7478694946499114,8,12,0.8656249758233565,5,7,0.851273393586738,11,13,0.8704824263550037,6,8,0.8812512246262647,1,6,0.17076727162523775
21,4,13,0.8355462951212079,4,5,0.8650857807100993,5,7,0.897703807197199,6,9,0.5605600243621296,6,8,0.6989623201082407,11,13,0.8126850099707266,6,10,0.33833552701726965
